"embryo","label","dataset","x_start","x_end","frame_start","frame_end","microns","frame_delta","microns_per_frame","label_tf","size","x_ant","x_post","x_tf_buck","x_tf_deep","gb_pos_tf_buck","gb_pos_tf_deep","gb_pct_tf_buck","gb_pct_tf_deep","frame_gastr","frame_tf_buck","frame_tf_deep","time_tf_buck","time_tf_deep","label_md","x_md_start","x_md_split","frame_md_start","frame_md_split","time_md_start","gb_pct_md_start","experiment","author","stock","genotype","zygosity","view","xres","yres","zres","slices","timestep","frames","folds_left","folds_right","folds_avg","ectopic_folds","microns_per_second","microns_per_minute"
"btd-gap-stg_3_z3_t53s_E11","3D_btd-gap-stg_3_z3_t53s_E11.tif:0081-0113-1362:80","3D_btd-gap-stg_3_z3_t53s_E11.tif",425,353,71,81,72,10,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-12_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","btd homozygote","lateral",0.2853696,0.2853696,3,NA,53,203,2,NA,2,TRUE,0.135849056603774,8.15094339622642
"btd-gap-stg_3_z3_t53s_E12","3D_btd-gap-stg_3_z3_t53s_E12.tif:0034-0144-1266:33","3D_btd-gap-stg_3_z3_t53s_E12.tif",418,304,24,34,114,10,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-12_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double heterozygote","lateral",0.2853696,0.2853696,3,NA,53,203,1,NA,1,FALSE,0.215094339622642,12.9056603773585
"btd-gap-stg_3_z3_t53s_E13","3D_btd-gap-stg_3_z3_t53s_E13.tif:0070-0077-1292:69","3D_btd-gap-stg_3_z3_t53s_E13.tif",425,313,60,70,112,10,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-12_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double heterozygote","lateral",0.2853696,0.2853696,3,NA,53,203,1,NA,1,FALSE,0.211320754716981,12.6792452830189
"btd-gap-stg_3_z3_t53s_E14","3D_btd-gap-stg_3_z3_t53s_E14.tif:0083-0085-1271:82","3D_btd-gap-stg_3_z3_t53s_E14.tif",414,311,73,83,103,10,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-12_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double heterozygote","lateral",0.2853696,0.2853696,3,NA,53,203,1,NA,1,FALSE,0.194339622641509,11.6603773584906
"btd-gap-stg_3_z3_t53s_E2","3D_btd-gap-stg_3_z3_t53s_E2.tif:0089-0074-1477:88","3D_btd-gap-stg_3_z3_t53s_E2.tif",446,397,79,89,49,10,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-12_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","btd homozygote","lateral",0.2853696,0.2853696,3,NA,53,203,1,NA,1,TRUE,0.0924528301886792,5.54716981132075
"btd-gap-stg_3_z3_t53s_E3","3D_btd-gap-stg_3_z3_t53s_E3.tif:0050-0099-1347:49","3D_btd-gap-stg_3_z3_t53s_E3.tif",437,331,40,50,106,10,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-12_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double heterozygote","lateral",0.2853696,0.2853696,3,NA,53,203,1,NA,1,FALSE,0.2,12
"btd-gap-stg_4_z3_t59s_E1","3D_btd-gap-stg_4_z3_t59s_E1.tif:0011-0091-1222:10","3D_btd-gap-stg_4_z3_t59s_E1.tif",405,292,1,11,113,10,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-13_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double heterozygote","lateral",0.2853696,0.2853696,3,NA,59,172,1,NA,1,FALSE,0.191525423728814,11.4915254237288
"btd-gap-stg_4_z3_t59s_E10","3D_btd-gap-stg_4_z3_t59s_E10.tif:0035-0118-1251:34","3D_btd-gap-stg_4_z3_t59s_E10.tif",404,310,25,35,94,10,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-13_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","btd homozygote","lateral",0.2853696,0.2853696,3,NA,59,172,2,NA,2,TRUE,0.159322033898305,9.5593220338983
"btd-gap-stg_4_z3_t59s_E11","3D_btd-gap-stg_4_z3_t59s_E11.tif:0079-0085-1239:78","3D_btd-gap-stg_4_z3_t59s_E11.tif",402,304,69,79,98,10,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-13_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double heterozygote","lateral",0.2853696,0.2853696,3,NA,59,172,1,NA,1,FALSE,0.166101694915254,9.96610169491525
"btd-gap-stg_4_z3_t59s_E13","3D_btd-gap-stg_4_z3_t59s_E13.tif:0066-0188-1407:65","3D_btd-gap-stg_4_z3_t59s_E13.tif",437,366,56,66,71,10,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-13_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double heterozygote","lateral",0.2853696,0.2853696,3,NA,59,172,1,NA,1,FALSE,0.120338983050847,7.22033898305085
"btd-gap-stg_4_z3_t59s_E14","3D_btd-gap-stg_4_z3_t59s_E14.tif:0040-0138-1222:39","3D_btd-gap-stg_4_z3_t59s_E14.tif",400,297,30,40,103,10,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-13_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double heterozygote","lateral",0.2853696,0.2853696,3,NA,59,172,1,NA,1,FALSE,0.174576271186441,10.4745762711864
"btd-gap-stg_4_z3_t59s_E16","3D_btd-gap-stg_4_z3_t59s_E16.tif:0079-0139-1304:78","3D_btd-gap-stg_4_z3_t59s_E16.tif",421,323,69,79,98,10,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-01-13_btd-gap-stg","bruno","btd-stg","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry,stg[2]/Gap43-mCherry","double heterozygote","lateral",0.2853696,0.2853696,3,NA,59,172,1,NA,1,FALSE,0.166101694915254,9.96610169491525
