"embryo","stock","zygosity","microns_per_minute","gb_pct_tf_buck","gb_pct_md_start","time_tf_buck","time_md_start"
"eve-Gap1_t60s_z3_E11","eve","heterozygote",10.2,4.56349206349206,14.0873015873016,10,17
"eve-Gap1_t60s_z3_E12","eve","homozygote",8.4,23.9089184060721,20.8728652751423,19,17
"eve-Gap1_t60s_z3_E16","eve","heterozygote",11.9,9.12698412698413,18.6507936507936,12,17
"eve-Gap1_t60s_z3_E2","eve","homozygote",8.6,25.5859375,18.359375,22,17
"eve-Gap1_t60s_z3_E3","eve","homozygote",8.8,31.3346228239845,15.2804642166344,26,16
"eve-Gap1_t60s_z3_E4","eve","heterozygote",10.9,10.2316602316602,21.2355212355212,15,20
"eve-Gap1_t60s_z3_E5","eve","heterozygote",11.8,11.3168724279835,23.0452674897119,11,16
"eve-Gap1_t60s_z3_E9","eve","heterozygote",9.3,9.61923847695391,26.25250501002,11,20
"prd-Gap_1_t60s_E1","prd","heterozygote",10.1,6.54761904761905,17.2619047619048,6,12
"prd-Gap_1_t60s_E10","prd","homozygote",11.3,18.0497925311203,26.5560165975104,9,12
"prd-Gap_1_t60s_E11","prd","heterozygote",10.7,32.2515212981745,16.0243407707911,18,11
"prd-Gap_1_t60s_E12","prd","homozygote",11.7,36.5145228215768,22.6141078838174,21,14
"prd-Gap_1_t60s_E13","prd","heterozygote",12.4,39.7705544933078,22.7533460803059,21,13
"prd-Gap_1_t60s_E15","prd","heterozygote",11,11.9047619047619,27.9220779220779,8,14
"prd-Gap_1_t60s_E16","prd","homozygote",11.4,43.9175257731959,26.5979381443299,18,10
"prd-Gap_1_t60s_E2","prd","heterozygote",9.6,27.8118609406953,16.9734151329243,19,14
"prd-Gap_1_t60s_E3","prd","heterozygote",9.3,7.54310344827587,21.3362068965517,7,13
"prd-Gap_1_t60s_E4","prd","homozygote",10.3,32,21.2,20,15
"prd-Gap_1_t60s_E5","prd","heterozygote",9.8,9.09090909090909,20.3557312252965,5,11
"prd-Gap_1_t60s_E6","prd","heterozygote",8.9,9.14634146341463,16.260162601626,7,13
"prd-Gap_1_t60s_E7","prd","heterozygote",12.5,10,23.75,7,14
"prd-Gap_1_t60s_E8","prd","heterozygote",11.2,26.1855670103093,21.4432989690722,15,13
"prd-Gap_1_t60s_E9","prd","homozygote",9,34.8605577689243,20.1195219123506,23,14
"Gap,stg[2]_2_z3_t50s_E1","stg","homozygote",12.96,NA,NA,NA,NA
"Gap,stg[2]_2_z3_t50s_E10","stg","heterozygote",11.04,NA,NA,NA,NA
