"label","dataset","embryo","x_start","x_end","frame_start","frame_end","microns","frame_delta","microns_per_frame"
"3D_btd-HisGap_z3_t51s_E14.tif:0057-0082-1412:56","3D_btd-HisGap_z3_t51s_E14.tif","btd-HisGap_z3_t51s_E14","444","361","47","57","83","10","8.3"
"3D_btd-HisGap_z3_t51s_E4.tif:0065-0121-1356:64","3D_btd-HisGap_z3_t51s_E4.tif","btd-HisGap_z3_t51s_E4","437","337","55","65","100","10","10"
"3D_btd-HisGap_z3_t51s_E7.tif:0090-0107-1425:89","3D_btd-HisGap_z3_t51s_E7.tif","btd-HisGap_z3_t51s_E7","441","372","80","90","69","10","6.9"
"3D_btd-hisgap1_E7.tif:0056-0117-1443:56","3D_btd-hisgap1_E7.tif","btd-hisgap1_E7","454","369","46","56","85","10","8.5"
"3D_btd-hisgap1_E8.tif:0106-0106-1323:106","3D_btd-hisgap1_E8.tif","btd-hisgap1_E8","424","330","96","106","94","10","9.4"
"3D_eve-Gap_1_E13.tif:0037-0075-1404:36","3D_eve-Gap_1_E13.tif","eve-Gap_1_E13","434","338","27","37","96","10","9.6"
"3D_eve-Gap_1_t45s_z3_E1.tif:0084-0097-1505:83","3D_eve-Gap_1_t45s_z3_E1.tif","eve-Gap_1_t45s_z3_E1","452","378","74","84","74","10","7.4"
"3D_eve-Gap_1_t45s_z3_E11.tif:0080-0088-1520:79","3D_eve-Gap_1_t45s_z3_E11.tif","eve-Gap_1_t45s_z3_E11","455","383","70","80","72","10","7.2"
"3D_eve-Gap_1_t45s_z3_E4.tif:0109-0088-1446:108","3D_eve-Gap_1_t45s_z3_E4.tif","eve-Gap_1_t45s_z3_E4","436","361","99","109","75","10","7.5"
"3D_eve-Gap1_t60s_z3_E11.tif:0054-0096-1390:53","3D_eve-Gap1_t60s_z3_E11.tif","eve-Gap1_t60s_z3_E11","434","332","44","54","102","10","10.2"
"3D_eve-Gap1_t60s_z3_E12.tif:0032-0091-1436:31","3D_eve-Gap1_t60s_z3_E12.tif","eve-Gap1_t60s_z3_E12","438","354","22","32","84","10","8.4"
"3D_eve-Gap1_t60s_z3_E16.tif:0068-0073-1354:67","3D_eve-Gap1_t60s_z3_E16.tif","eve-Gap1_t60s_z3_E16","433","314","58","68","119","10","11.9"
"3D_eve-Gap1_t60s_z3_E2.tif:0033-0079-1504:32","3D_eve-Gap1_t60s_z3_E2.tif","eve-Gap1_t60s_z3_E2","458","372","23","33","86","10","8.6"
"3D_eve-Gap1_t60s_z3_E3.tif:0079-0089-1466:78","3D_eve-Gap1_t60s_z3_E3.tif","eve-Gap1_t60s_z3_E3","448","360","69","79","88","10","8.8"
"3D_eve-Gap1_t60s_z3_E4.tif:0045-0102-1380:44","3D_eve-Gap1_t60s_z3_E4.tif","eve-Gap1_t60s_z3_E4","435","326","35","45","109","10","10.9"
"3D_eve-Gap1_t60s_z3_E5.tif:0085-0076-1284:84","3D_eve-Gap1_t60s_z3_E5.tif","eve-Gap1_t60s_z3_E5","413","295","75","85","118","10","11.8"
"3D_eve-Gap1_t60s_z3_E9.tif:0039-0079-1420:38","3D_eve-Gap1_t60s_z3_E9.tif","eve-Gap1_t60s_z3_E9","438","345","29","39","93","10","9.3"
"3D_Gap,stg[2]_2_z3_t50s_E1.tif:0032-0082-1321:31","3D_Gap,stg[2]_2_z3_t50s_E1.tif","Gap,stg[2]_2_z3_t50s_E1","431","323","22","32","108","10","10.8"
"3D_Gap,stg[2]_2_z3_t50s_E10.tif:0089-0121-1357:88","3D_Gap,stg[2]_2_z3_t50s_E10.tif","Gap,stg[2]_2_z3_t50s_E10","433","341","79","89","92","10","9.2"
"3D_Gap,stg[2]_2_z3_t50s_E11.tif:0065-0096-1402:64","3D_Gap,stg[2]_2_z3_t50s_E11.tif","Gap,stg[2]_2_z3_t50s_E11","441","359","55","65","82","10","8.2"
"3D_Gap,stg[2]_2_z3_t50s_E12.tif:0066-0197-1332:65","3D_Gap,stg[2]_2_z3_t50s_E12.tif","Gap,stg[2]_2_z3_t50s_E12","428","332","56","66","96","10","9.6"
"3D_Gap,stg[2]_2_z3_t50s_E13.tif:0064-0142-1329:63","3D_Gap,stg[2]_2_z3_t50s_E13.tif","Gap,stg[2]_2_z3_t50s_E13","425","333","54","64","92","10","9.2"
"3D_Gap,stg[2]_2_z3_t50s_E14.tif:0011-0131-1282:10","3D_Gap,stg[2]_2_z3_t50s_E14.tif","Gap,stg[2]_2_z3_t50s_E14","416","316","1","11","100","10","10"
"3D_Gap,stg[2]_2_z3_t50s_E15.tif:0032-0201-1340:31","3D_Gap,stg[2]_2_z3_t50s_E15.tif","Gap,stg[2]_2_z3_t50s_E15","428","337","22","32","91","10","9.1"
"3D_Gap,stg[2]_2_z3_t50s_E2.tif:0039-0096-1366:38","3D_Gap,stg[2]_2_z3_t50s_E2.tif","Gap,stg[2]_2_z3_t50s_E2","439","340","29","39","99","10","9.9"
"3D_Gap,stg[2]_2_z3_t50s_E3.tif:0073-0106-1383:72","3D_Gap,stg[2]_2_z3_t50s_E3.tif","Gap,stg[2]_2_z3_t50s_E3","446","343","63","73","103","10","10.3"
"3D_Gap,stg[2]_2_z3_t50s_E4.tif:0065-0102-1326:64","3D_Gap,stg[2]_2_z3_t50s_E4.tif","Gap,stg[2]_2_z3_t50s_E4","426","330","55","65","96","10","9.6"
"3D_Gap,stg[2]_2_z3_t50s_E7.tif:0070-0145-1283:69","3D_Gap,stg[2]_2_z3_t50s_E7.tif","Gap,stg[2]_2_z3_t50s_E7","410","321","60","70","89","10","8.9"
"3D_Gap,stg[2]_2_z3_t50s_E8.tif:0063-0201-1363:62","3D_Gap,stg[2]_2_z3_t50s_E8.tif","Gap,stg[2]_2_z3_t50s_E8","434","344","53","63","90","10","9"
"3D_Gap,stg[2]_2_z3_t50s_E9.tif:0052-0088-1355:51","3D_Gap,stg[2]_2_z3_t50s_E9.tif","Gap,stg[2]_2_z3_t50s_E9","437","337","42","52","100","10","10"
