"embryo","label_tf","size","x_ant","x_post","x_tf_buck","x_tf_deep","gb_pos_tf_buck","gb_pos_tf_deep","gb_pct_tf_buck","gb_pct_tf_deep","frame_gastr","frame_tf_buck","frame_tf_deep","time_tf_buck","time_tf_deep","label_md","x_md_start","x_md_split","frame_md_start","frame_md_split","experiment","author","stock","genotype","zygosity","view","xres","yres","zres","slices","timestep","frames","folds_left","folds_right","folds_avg","ectopic_folds","gb_pos_md_start","gb_pos_md_split","gb_pct_md_start","gb_pct_md_split","time_md_start","time_md_split"
"btd-hisgap1_E8","3D_btd-hisgap1_E8.tif:0115-0209-0952:115",474,35,509,321,289,286,254,39.662447257384,46.4135021097046,80,107,115,27,35,"3D_btd-hisgap1_E8.tif:0105-0107-1256:105",378,339,100,105,"2020-02-10_btd-hisgap","bruno","btd","btd[XA]/FM7c,Kr-GFP;;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,60,300,3,NA,3,TRUE,343,304,27.6371308016878,35.8649789029536,20,25
"eve-Gap_1_E13","3D_eve-Gap_1_E13.tif:0042-0206-0963:41",521,4,525,351,313,347,309,33.3973128598848,40.6909788867562,13,35,42,22,29,"3D_eve-Gap_1_E13.tif:0033-0069-1408:32",408,366,29,33,"2020-01-15_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.2749087,0.2749087,3,NA,60,180,1,NA,1,TRUE,404,362,22.4568138195777,30.5182341650672,16,20
"eve-Gap_1_t45s_z3_E1","3D_eve-Gap_1_t45s_z3_E1.tif:0086-0209-0971:85",514,11,525,488,365,477,354,7.19844357976653,31.1284046692607,50,68,86,13.5,27,"3D_eve-Gap_1_t45s_z3_E1.tif:0082-0094-1506:81",441,389,75,82,"2020-01-17_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,45,215,1,NA,1,FALSE,430,378,16.3424124513619,26.4591439688716,18.75,24
"eve-Gap_1_t45s_z3_E11","3D_eve-Gap_1_t45s_z3_E11.tif:0096-0203-0962:95",515,8,523,378,309,370,301,28.1553398058252,41.5533980582524,49,81,96,24,35.25,"3D_eve-Gap_1_t45s_z3_E11.tif:0079-0084-1478:78",429,387,74,79,"2020-01-17_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.275836,0.275836,3,NA,45,215,2,NA,2,TRUE,421,379,18.252427184466,26.4077669902913,18.75,22.5
"eve-Gap_1_t45s_z3_E4","3D_eve-Gap_1_t45s_z3_E4.tif:0112-0193-0965:111",511,11,522,472,339,461,328,9.78473581213308,35.8121330724071,76,93,112,12.75,27,"3D_eve-Gap_1_t45s_z3_E4.tif:0107-0086-1452:106",422,379,101,107,"2020-01-17_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,45,215,1,NA,1,FALSE,411,368,19.5694716242661,27.9843444227006,18.75,23.25
"eve-Gap1_t60s_z3_E11","3D_eve-Gap1_t60s_z3_E11.tif:0051-0229-0963:50",504,14,518,495,356,481,342,4.56349206349206,32.1428571428571,26,36,51,10,25,"3D_eve-Gap1_t60s_z3_E11.tif:0048-0105-1526:47",447,394,43,48,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,60,190,1,NA,1,FALSE,433,380,14.0873015873016,24.6031746031746,17,22
"eve-Gap1_t60s_z3_E12","3D_eve-Gap1_t60s_z3_E12.tif:0039-0223-0960:38",527,1,528,402,318,401,317,23.9089184060721,39.8481973434535,7,26,39,19,32,"3D_eve-Gap1_t60s_z3_E12.tif:0029-0092-1441:28",418,377,24,29,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.275836,0.275836,3,NA,60,190,2,NA,2,TRUE,417,376,20.8728652751423,28.6527514231499,17,22
"eve-Gap1_t60s_z3_E16","3D_eve-Gap1_t60s_z3_E16.tif:0070-0204-0986:69",504,20,524,478,302,458,282,9.12698412698413,44.047619047619,41,53,70,12,29,"3D_eve-Gap1_t60s_z3_E16.tif:0063-0077-1449:62",430,369,58,63,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,60,190,1,NA,1,FALSE,410,349,18.6507936507936,30.7539682539683,17,22
"eve-Gap1_t60s_z3_E2","3D_eve-Gap1_t60s_z3_E2.tif:0038-0197-0974:37",512,13,525,394,366,381,353,25.5859375,31.0546875,6,28,38,22,32,"3D_eve-Gap1_t60s_z3_E2.tif:0027-0073-1498:26",431,396,23,27,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.275836,0.275836,3,NA,60,190,2,NA,2,TRUE,418,383,18.359375,25.1953125,17,21
"eve-Gap1_t60s_z3_E3","3D_eve-Gap1_t60s_z3_E3.tif:0087-0205-0978:86",517,11,528,366,341,355,330,31.3346228239845,36.1702127659574,53,79,87,26,34,"3D_eve-Gap1_t60s_z3_E3.tif:0074-0090-1539:73",449,400,69,74,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.275836,0.275836,3,NA,60,190,2,NA,2,TRUE,438,389,15.2804642166344,24.7582205029014,16,21
"eve-Gap1_t60s_z3_E4","3D_eve-Gap1_t60s_z3_E4.tif:0046-0226-0976:45",518,10,528,475,318,465,308,10.2316602316602,40.5405405405405,16,31,46,15,30,"3D_eve-Gap1_t60s_z3_E4.tif:0040-0100-1446:39",418,380,36,40,"2020-01-22_eve-Gap","bruno","eve","eve[3]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.275836,0.275836,3,NA,60,190,1,NA,1,FALSE,408,370,21.2355212355212,28.5714285714286,20,24
