"embryo","stock","zygosity","size","status","gb_pct","time"
"prd-Gap_1_t60s_E3","prd","heterozygote",464,"tf_buck",7.54310344827587,7
"prd-Gap_1_t60s_E5","prd","heterozygote",506,"tf_buck",9.09090909090909,5
"prd-Gap_1_t60s_E6","prd","heterozygote",492,"tf_buck",9.14634146341463,7
"prd-Gap_1_t60s_E7","prd","heterozygote",480,"tf_buck",10,7
"prd-Gap_1_t60s_E8","prd","heterozygote",485,"tf_buck",26.1855670103093,15
"prd-Gap_1_t60s_E1","prd","heterozygote",504,"md_start",17.2619047619048,12
"prd-Gap_1_t60s_E11","prd","heterozygote",493,"md_start",16.0243407707911,11
"prd-Gap_1_t60s_E13","prd","heterozygote",523,"md_start",22.7533460803059,13
"prd-Gap_1_t60s_E15","prd","heterozygote",462,"md_start",27.9220779220779,14
"prd-Gap_1_t60s_E2","prd","heterozygote",489,"md_start",16.9734151329243,14
"prd-Gap_1_t60s_E3","prd","heterozygote",464,"md_start",21.3362068965517,13
"prd-Gap_1_t60s_E5","prd","heterozygote",506,"md_start",20.3557312252965,11
"prd-Gap_1_t60s_E6","prd","heterozygote",492,"md_start",16.260162601626,13
"prd-Gap_1_t60s_E7","prd","heterozygote",480,"md_start",23.75,14
"prd-Gap_1_t60s_E8","prd","heterozygote",485,"md_start",21.4432989690722,13
"prd-Gap_1_t60s_E1","prd","heterozygote",504,"md_split",26.5873015873016,16
"prd-Gap_1_t60s_E11","prd","heterozygote",493,"md_split",30.2231237322515,17
"prd-Gap_1_t60s_E13","prd","heterozygote",523,"md_split",34.7992351816444,18
"prd-Gap_1_t60s_E15","prd","heterozygote",462,"md_split",38.0952380952381,19
"prd-Gap_1_t60s_E2","prd","heterozygote",489,"md_split",27.8118609406953,19
"prd-Gap_1_t60s_E3","prd","heterozygote",464,"md_split",27.5862068965517,17
"prd-Gap_1_t60s_E5","prd","heterozygote",506,"md_split",31.4229249011858,17
"prd-Gap_1_t60s_E6","prd","heterozygote",492,"md_split",29.2682926829268,19
"prd-Gap_1_t60s_E7","prd","heterozygote",480,"md_split",36.25,19
"prd-Gap_1_t60s_E8","prd","heterozygote",485,"md_split",32.7835051546392,18
"prd-Gap_1_t60s_E10","prd","homozygote",482,"tf_buck",18.0497925311203,9
"prd-Gap_1_t60s_E12","prd","homozygote",482,"tf_buck",36.5145228215768,21
"prd-Gap_1_t60s_E16","prd","homozygote",485,"tf_buck",43.9175257731959,18
"prd-Gap_1_t60s_E4","prd","homozygote",500,"tf_buck",32,20
"prd-Gap_1_t60s_E9","prd","homozygote",502,"tf_buck",34.8605577689243,23
"prd-Gap_1_t60s_E10","prd","homozygote",482,"md_start",26.5560165975104,12
"prd-Gap_1_t60s_E12","prd","homozygote",482,"md_start",22.6141078838174,14
"prd-Gap_1_t60s_E16","prd","homozygote",485,"md_start",26.5979381443299,10
"prd-Gap_1_t60s_E4","prd","homozygote",500,"md_start",21.2,15
"prd-Gap_1_t60s_E9","prd","homozygote",502,"md_start",20.1195219123506,14
"prd-Gap_1_t60s_E10","prd","homozygote",482,"md_split",35.6846473029046,16
"prd-Gap_1_t60s_E12","prd","homozygote",482,"md_split",34.6473029045643,20
"prd-Gap_1_t60s_E16","prd","homozygote",485,"md_split",35.4639175257732,14
"prd-Gap_1_t60s_E4","prd","homozygote",500,"md_split",33.6,21
"prd-Gap_1_t60s_E9","prd","homozygote",502,"md_split",30.0796812749004,19
