,Type,Sample,Fold,Time [min],Angle [degrees],Solidity
90,Btd,1,1,34,6.143117790582604,0.18976825535636205
91,Btd,1,1,34,-3.39078537069178,0.74573055028463
92,Btd,1,1,35,8.977802076087116,0.21793608334506548
93,Btd,1,1,36,13.836619262052881,0.2723543888433142
94,Btd,1,1,37,14.407006257626875,0.30958980044345896
95,Btd,2,4,1,-13.006071753108204,0.31902929860905593
96,Btd,2,4,1,-19.728842421969365,0.6459694989106753
97,Btd,2,4,2,-15.861805469319824,0.2454334108269678
98,Btd,2,4,2,-7.402623625275307,0.26451138868479057
99,Btd,2,4,3,-15.47357093494315,0.282876064333018
100,Btd,2,4,3,-12.851529545092955,0.2885644768856448
101,Btd,2,4,4,-16.990581169748438,0.3395104895104895
102,Btd,2,4,4,-22.767601663374425,0.36024539877300615
103,Btd,2,4,5,-18.61133294740288,0.33398724865129964
104,Btd,2,4,5,-25.194277097261754,0.4490950226244344
105,Btd,2,4,6,-17.831830455733627,0.2174749417839425
106,Btd,2,4,6,-30.320330005757278,0.44139445511940706
107,Btd,2,4,7,-20.310168629277,0.22962722149978326
108,Btd,2,4,7,-30.190979026778,0.4513723150357995
109,Btd,2,4,8,-23.533164746332137,0.2315886984715146
110,Btd,2,4,8,-30.369421436828684,0.5087157595161864
111,Btd,2,4,9,-24.864861557381,0.2113655821917808
112,Btd,2,4,9,-29.939452612830706,0.544973544973545
113,Btd,2,4,10,-30.32238560440363,0.6610978520286396
114,Btd,2,4,10,-27.316113937498205,0.25049337468283056
115,Btd,2,4,11,-26.205774293099477,0.5676546391752577
116,Btd,2,4,11,-28.185548249320572,0.20761700095510985
117,Btd,2,4,12,-26.82327486051413,0.548540393754243
118,Btd,2,4,12,-28.029876620229178,0.20931132318803197
119,Btd,2,4,13,-27.810634623587056,0.22005044136191676
120,Btd,2,4,14,-26.949496342263586,0.225888756591257
121,Btd,2,4,15,-27.470423355847082,0.2369556688897607
122,Btd,2,4,16,-26.772381288723583,0.25492012039824036
123,Btd,2,4,17,-19.313598161209576,0.35550935550935553
124,Btd,2,4,18,-24.93190196393601,0.6232439335887612
125,Btd,3,7,1,-30.643353613981482,0.5099085365853658
126,Btd,3,7,2,-29.07003561901246,0.4735278227984873
127,Btd,3,7,3,-30.138588389213208,0.22820486917870492
128,Btd,3,7,4,-33.8584864621855,0.2757340901648292
129,Btd,3,7,5,-35.08947315109624,0.23005729396209784
130,Btd,3,7,6,-36.329461064367464,0.26979350420255266
131,Btd,3,7,7,-38.0099375201259,0.2981999320729084
132,Btd,3,7,8,-37.57251384765975,0.31077633337383065
133,Btd,3,7,9,-38.2074336833853,0.2416806097787693
134,Btd,3,7,10,-37.2254129499027,0.25617408906882594
135,Btd,3,7,11,-37.465548528410665,0.25819506272764065
136,Btd,3,7,12,-38.114764760789214,0.24196471149260848
137,Btd,3,7,13,-38.07561577740088,0.34654850746268656
138,Btd,3,7,14,-37.172587595136065,0.3559184993531695
139,Btd,3,7,15,-37.25811449774301,0.34230070968806736
140,Btd,3,7,16,-37.810402653424525,0.34012324546388223
141,Btd,3,7,17,-35.90678855958007,0.4015339966832504
142,Btd,3,7,18,-36.77773119192582,0.3020620179442783
143,Btd,3,7,19,-36.6358192131792,0.32682125251049843
144,Btd,3,7,20,-36.86094153666266,0.35219991456642463
145,Btd,3,7,21,-37.08165989792185,0.2998889300259163
146,Btd,3,7,22,-36.96386486824956,0.32992700729927005
147,Btd,3,7,23,-35.222558401102525,0.2999250655676283
148,Btd,3,7,24,-35.06736000621627,0.3290414878397711
149,Btd,3,7,25,-35.27198774835339,0.3462041884816754
150,Btd,3,7,26,-37.13469389969344,0.33426573426573425
151,Btd,3,7,27,-37.50574873428571,0.4807400667273279
152,Btd,3,7,28,-36.92876750455691,0.3610919935765084
153,Btd,3,7,29,-37.68018468416287,0.34802531093170413
