,Unnamed: 0,Time,Angle,Tortuosity,Angle Diference,Label
15,15,15,59.05292080914897,1.093632007872552,-22.857146095177622,WT
16,16,16,59.23850387908739,1.090301992980074,-22.67156302523921,WT
17,17,17,60.81704938873655,1.092248545276265,-21.09301751559005,WT
18,18,18,60.84509414546862,1.093488530195539,-21.064972758857976,WT
19,19,19,61.04182408413249,1.085042367518244,-20.868242820194105,WT
20,20,20,61.0962606918175,1.071149662767703,-20.8138062125091,WT
21,21,21,62.15864880588879,1.073674089909726,-19.75141809843781,WT
22,22,22,61.015213667126126,1.075273426347942,-20.894853237200472,WT
23,23,23,61.70573213183608,1.077935250979744,-20.20433477249052,WT
24,24,24,62.09052449910708,1.07825105500287,-19.819542405219515,WT
25,25,25,62.68286582468727,1.080049533397373,-19.22720107963933,WT
26,26,26,63.41640765097913,1.079735257449626,-18.493659253347467,WT
27,27,27,63.709415936183504,1.080119553394442,-18.20065096814309,WT
28,28,28,62.78811903979717,1.078810456797057,-19.12194786452943,WT
29,29,29,63.67033359375269,1.079409086424597,-18.239733310573904,WT
30,30,30,64.48313976536255,1.080137787713324,-17.426927138964047,WT
31,31,31,64.37814609744112,1.080060321317875,-17.53192080688548,WT
32,32,32,63.6538864982313,1.079747225192289,-18.256180406095297,WT
33,33,33,62.89471097198439,1.077434524326367,-19.01535593234221,WT
0,0,0,75.93568677693811,1.067531479728025,0.0,WT
1,1,1,79.1249206664705,1.05860924348844,3.189233889532389,WT
2,2,2,78.17029927712368,1.061249948473342,2.2346125001855626,WT
3,3,3,76.75726291144227,1.067121230701537,0.8215761345041557,WT
4,4,4,75.3553324333513,1.068601464100168,-0.5803543435868193,WT
5,5,5,74.70366408464038,1.071705076036368,-1.2320226922977326,WT
6,6,6,73.07556555256278,1.076353352616739,-2.860121224375334,WT
7,7,7,72.28608447696851,1.077481590161625,-3.649602299969601,WT
8,8,8,69.3753720414109,1.080611703422022,-6.560314735527214,WT
9,9,9,68.58574753184406,1.080897828398475,-7.349939245094049,WT
10,10,10,67.70619675166485,1.084431293459893,-8.229490025273265,WT
11,11,11,65.60001229844303,1.087680499403751,-10.33567447849508,WT
12,12,12,62.11155465156156,1.092237513709828,-13.824132125376558,WT
13,13,13,61.56306314045285,1.094739417836773,-14.372623636485264,WT
14,14,14,59.974245026292,1.112639733516167,-15.961441750646117,WT
15,15,15,57.92165706748728,1.118540330949968,-18.01402970945084,WT
16,16,16,57.70122637240345,1.117004223246408,-18.234460404534666,WT
17,17,17,57.32221917535944,1.115013933215841,-18.61346760157867,WT
0,0,0,68.35108272252994,1.078195769460927,0.0,WT
1,1,1,71.28802991468957,1.077340049457698,2.936947192159636,WT
2,2,2,71.89541131682213,1.075585456698064,3.544328594292196,WT
3,3,3,72.23132002020336,1.076266323512,3.8802372976734176,WT
4,4,4,71.80897527287561,1.075974886005078,3.457892550345676,WT
5,5,5,72.40027840970195,1.074185975259538,4.049195687172016,WT
6,6,6,71.83159002921752,1.074914568301823,3.480507306687585,WT
7,7,7,71.02398846175522,1.076940428859632,2.672905739225285,WT
8,8,8,69.82892392305644,1.0792464001229929,1.4778412005264985,WT
9,9,9,69.48600744558676,1.079179139430189,1.134924723056827,WT
10,10,10,67.6104989712038,1.081133924814787,-0.7405837513261417,WT
11,11,11,67.09423912278838,1.081251231854941,-1.2568435997415577,WT
12,12,12,64.59023030135918,1.079292209266548,-3.760852421170753,WT
13,13,13,64.19122431042537,1.087808867435991,-4.159858412104569,WT
14,14,14,61.91232486366145,1.096403800274081,-6.438757858868485,WT
15,15,15,60.14545054802753,1.106287091398241,-8.205632174502405,WT
16,16,16,59.47023853724758,1.129398601847485,-8.880844185282356,WT
17,17,17,57.67745731409181,1.139357278890746,-10.673625408438134,WT
0,0,0,82.22062194550874,1.038189611003173,0.0,WT
1,1,1,80.29797150547435,1.052121838691787,-1.9226504400343885,WT
2,2,2,80.2775970511802,1.050355030711985,-1.9430248943285449,WT
3,3,3,76.89627775161954,1.065037837120961,-5.324344193889203,WT
4,4,4,75.46484085631411,1.070266817734718,-6.755781089194628,WT
5,5,5,74.9065548539356,1.071482927964491,-7.314067091573136,WT
6,6,6,73.49651011111067,1.073315754089777,-8.724111834398073,WT
7,7,7,73.30064077628221,1.077326966054091,-8.919981169226531,WT
8,8,8,71.0531943506462,1.079159345712747,-11.167427594862543,WT
9,9,9,70.19872402509927,1.080192614926126,-12.021897920409472,WT
10,10,10,68.71778191868958,1.080996687142582,-13.502840026819158,WT
11,11,11,67.03222783531383,1.081005719018781,-15.188394110194906,WT
12,12,12,66.00466685582045,1.080562404761162,-16.215955089688293,WT
13,13,13,66.06495693562414,1.080358622582714,-16.1556650098846,WT
14,14,14,64.64474887131422,1.085333678130702,-17.57587307419452,WT
15,15,15,64.21034200991224,1.092442388142574,-18.0102799355965,WT
16,16,16,61.72696718996565,1.088550406541052,-20.49365475554309,WT
17,17,17,60.66363650978889,1.077349536334733,-21.55698543571985,WT
18,18,18,59.2199394249233,1.078910623087072,-23.000682520585443,WT
19,19,19,58.08362817346495,1.083101094850747,-24.136993772043787,WT
20,20,20,57.12707042548843,1.073372455469701,-25.093551520020316,WT
21,21,21,57.04952387274668,1.070220030763858,-25.171098072762057,WT
22,22,22,56.48527170012817,1.068943078468462,-25.73535024538057,WT
23,23,23,57.48636228149319,1.072886824531696,-24.734259664015557,WT
0,0,0,73.38714512212043,1.073210915824548,0.0,WT
1,1,1,73.54651392602433,1.071520412253107,0.1593688039039023,WT
2,2,2,73.4497847869986,1.075585456698064,0.0626396648781764,WT
3,3,3,71.25079172333467,1.085433173688486,-2.136353398785758,WT
4,4,4,69.4471641597769,1.079268751500763,-3.939980962343526,WT
5,5,5,67.72495928131487,1.080771598252091,-5.662185840805563,WT
6,6,6,67.17442554364433,1.080400705743553,-6.212719578476097,WT
7,7,7,67.73267739507699,1.081069181560209,-5.654467727043439,WT
8,8,8,65.83543525875504,1.080175533223202,-7.551709863365389,WT
9,9,9,64.7304404246412,1.08045700021959,-8.656704697479228,WT
10,10,10,64.59228618829935,1.079628214299736,-8.794858933821075,WT
11,11,11,62.481477697009446,1.075897383926074,-10.905667425110984,WT
12,12,12,61.26868881741447,1.080039342295595,-12.118456304705958,WT
13,13,13,58.913871818025854,1.072510904998858,-14.473273304094576,WT
14,14,14,57.045685306433136,1.082955895902313,-16.341459815687294,WT
