,Type,Sample,Fold,Time [min],Angle [degrees],Solidity
145,WT,6,0,28,-27.186589700878837,0.2773128251526804
146,WT,6,0,29,-26.31498641354896,0.27242302543507363
147,WT,6,0,30,-25.515589005913306,0.2578420467185762
148,WT,6,0,31,-25.612211636687025,0.25413517362252164
149,WT,6,0,32,-26.354968888405807,0.24880849220103987
150,WT,6,0,33,-27.304216212645997,0.21874695508136022
151,WT,7,0,0,-9.095084435813154,0.766295707472178
152,WT,7,0,1,-9.116419345389964,0.5241976566479878
153,WT,7,0,2,-10.734065001305332,0.6146464646464647
154,WT,7,0,3,-11.634279897094263,0.5547302580140735
155,WT,7,0,4,-13.718757280074453,0.5630725863284003
156,WT,7,0,5,-15.867097176318202,0.5019691002726446
157,WT,7,0,6,-16.316209265912022,0.42235023041474656
158,WT,7,0,7,-19.36897046736461,0.4968915496200783
159,WT,7,0,8,-19.6893037945681,0.3768906907843443
160,WT,7,0,9,-21.377987384126627,0.3865381719620539
161,WT,7,0,10,-23.10913314959906,0.4096622747236105
162,WT,7,0,11,-24.05888774503036,0.23563492063492064
163,WT,7,0,12,-25.60920595512578,0.18833513903936439
164,WT,7,0,13,-27.18677488435664,0.175888085507702
165,WT,7,0,14,-28.96911345306957,0.15752500581530587
166,WT,7,0,15,-30.14449496480811,0.1695909364347303
167,WT,7,0,16,-31.18689584508678,0.170686175580222
168,WT,7,0,17,-31.762745532207887,0.1963211678832117
169,WT,7,0,18,-32.68988541102235,0.19734886762170836
170,WT,7,0,19,-32.843498821063726,0.19287626585962053
171,WT,7,0,20,-32.720456664940265,0.20456839979808178
172,WT,7,0,21,-32.01863679420688,0.171716621253406
173,WT,7,0,22,-31.308626521239525,0.1753758453026323
174,WT,8,0,0,-13.93779374005032,0.5925542916235781
175,WT,8,0,1,-10.857330383172156,0.6895284751990202
176,WT,8,0,2,-11.823764151001074,0.634858812074002
177,WT,8,0,3,-13.224020377972096,0.5119354838709678
178,WT,8,0,4,-14.593304008145127,0.4370253993191935
179,WT,8,0,5,-15.260524069095812,0.4875595553202753
180,WT,8,0,6,-16.936898562728572,0.31649122807017543
181,WT,8,0,7,-17.76565359177989,0.2771905097486493
182,WT,8,0,8,-20.725240324222852,0.2521851410409217
183,WT,8,0,9,-21.688010193462926,0.18463350422613276
184,WT,8,0,10,-22.56150381654745,0.189247014976879
185,WT,8,0,11,-24.614330499070338,0.18113743463946808
186,WT,8,0,12,-28.045599193914633,0.14444114444114445
187,WT,8,0,13,-28.578537889426176,0.1436957259981565
188,WT,8,0,14,-30.035806962674766,0.12654030376223033
189,WT,8,0,15,-32.034559451248064,0.11145059864283938
190,WT,8,0,16,-32.34318778784748,0.10596290633517251
191,WT,8,0,17,-32.75220199660478,0.10673613198410313
192,WT,9,0,0,-15.148024175850846,0.8436944937833037
193,WT,9,0,1,-18.871229549825433,0.5773615635179153
194,WT,9,0,2,-16.838656164283645,0.6259541984732825
195,WT,9,0,3,-16.2749788381977,0.708540218470705
196,WT,9,0,4,-16.93633297536527,0.6001443522194154
197,WT,9,0,5,-14.945519403083326,0.4433377600708278
198,WT,9,0,6,-16.655994440224827,0.48909377108162805
199,WT,9,0,7,-19.828113475686887,0.5558569667077682
200,WT,9,0,8,-22.246893408749617,0.4188272141987124
201,WT,9,0,9,-24.49893623781689,0.36679808504646577
202,WT,9,0,10,-26.048832272822168,0.36093876449959533
203,WT,9,0,11,-26.21815222273355,0.459030241594864
204,WT,9,0,12,-27.2810259802813,0.44321026282853565
205,WT,9,0,13,-27.699105468619738,0.5355919299581271
206,WT,9,0,14,-28.95786132839224,0.32387273975738157
207,WT,9,0,15,-31.192585123730893,0.28664987405541564
208,WT,9,0,16,-32.52506265443665,0.28821138211382114
209,WT,9,0,17,-33.53294741879656,0.2951371189723723
210,WT,9,0,18,-35.55910087765907,0.25972373682297345
211,WT,9,0,19,-35.670530678378476,0.249390456287008
212,WT,9,0,20,-34.888438475835954,0.27701127089001165
213,WT,9,0,21,-33.824316256468975,0.25941154970760233
214,WT,9,0,22,-32.287443285652195,0.28910149750415975
215,WT,9,0,23,-30.967581311679755,0.3127581459385039
216,WT,9,0,24,-30.82891261077123,0.2926072536642773
217,WT,9,0,25,-30.395984700393516,0.30915940663998115
218,WT,9,0,26,-29.525299524787407,0.29309350858987665
219,WT,9,0,27,-28.58548857481391,0.2544436065926963
220,WT,9,0,28,-28.29517174186777,0.31271060789863864
221,WT,9,0,29,-28.2555904488566,0.2661222529122133
222,WT,9,0,30,-29.465675653824942,0.2726425146510389
223,WT,9,0,31,-30.008630257562267,0.2555273189326557
224,WT,9,0,32,-28.950367770147647,0.26865671641791045
225,WT,9,0,33,-29.906303419943182,0.27155107567323605
226,WT,10,0,0,-7.171564441559605,0.5028177833437696
227,WT,10,0,1,-6.6288107974137676,0.6756756756756757
228,WT,10,0,2,-6.7428987432805885,0.6185303514376996
229,WT,10,0,3,-6.47070728564058,0.6633064516129032
230,WT,10,0,4,-5.471700530345467,0.5044776119402985
231,WT,10,0,5,-7.585898383518025,0.6073536087153881
232,WT,10,0,6,-8.41777917960711,0.3725023786869648
233,WT,10,0,7,-9.454941696570593,0.3524102564102564
234,WT,10,0,8,-10.722441927050703,0.4139194139194139
235,WT,10,0,9,-14.196203348936091,0.292244175759363
236,WT,10,0,10,-15.487091330608074,0.2597104945717732
237,WT,10,0,11,-17.05350090451376,0.2603334899013621
238,WT,10,0,12,-18.538383007834955,0.30447680690399137
239,WT,10,0,13,-19.36848637972919,0.27878357590817654
240,WT,10,0,14,-20.70044366302117,0.23402721456249437
241,WT,10,0,15,-21.160929308430145,0.22723440134907252
242,WT,10,0,16,-22.687404949968627,0.24165907019143118
243,WT,10,0,17,-23.520667059489952,0.25969289827255276
244,WT,10,0,18,-24.90505335058665,0.2852886788576125
245,WT,10,0,19,-26.46611710557536,0.2818540433925049
246,WT,10,0,20,-27.756573143900912,0.34070744114515555
247,WT,10,0,21,-28.443230215677385,0.19295756481362053
248,WT,10,0,22,-28.84892627080139,0.15492155542898567
249,WT,10,0,23,-28.206916074331843,0.16193737769080235
250,WT,10,0,24,-29.07725170198164,0.12304584932336901
251,WT,10,0,25,-30.469177644041167,0.11859534630773415
252,WT,10,0,26,-29.921925674706927,0.1337768587611256
253,WT,10,0,27,-29.19041429527723,0.13364751098096633
254,WT,10,0,28,-29.370611003629975,0.14387598434946264
