Unnamed: 0,Type,Sample,Fold,Time [min],Angle [degrees],Solidity,Angle Corr
206,WT,9,0,14,-28.95786132839224,0.3238727397573815,61.04213867160776
207,WT,9,0,15,-31.192585123730893,0.2866498740554156,58.80741487626911
208,WT,9,0,16,-32.52506265443665,0.2882113821138211,57.47493734556335
209,WT,9,0,17,-33.53294741879656,0.2951371189723723,56.46705258120344
210,WT,9,0,18,-35.55910087765907,0.2597237368229734,54.44089912234093
211,WT,9,0,19,-35.67053067837848,0.249390456287008,54.32946932162152
212,WT,9,0,20,-34.888438475835954,0.2770112708900116,55.111561524164046
213,WT,9,0,21,-33.824316256468975,0.2594115497076023,56.175683743531025
214,WT,9,0,22,-32.287443285652195,0.2891014975041597,57.712556714347805
215,WT,9,0,23,-30.967581311679755,0.3127581459385039,59.03241868832025
216,WT,9,0,24,-30.82891261077123,0.2926072536642773,59.171087389228774
217,WT,9,0,25,-30.39598470039352,0.3091594066399811,59.60401529960648
218,WT,9,0,26,-29.525299524787407,0.2930935085898766,60.47470047521259
219,WT,9,0,27,-28.58548857481391,0.2544436065926963,61.41451142518609
220,WT,9,0,28,-28.29517174186777,0.3127106078986386,61.70482825813223
221,WT,9,0,29,-28.2555904488566,0.2661222529122133,61.7444095511434
222,WT,9,0,30,-29.465675653824945,0.2726425146510389,60.534324346175055
226,WT,10,0,0,-7.171564441559605,0.5028177833437696,82.82843555844039
227,WT,10,0,1,-6.628810797413768,0.6756756756756757,83.37118920258624
228,WT,10,0,2,-6.7428987432805885,0.6185303514376996,83.25710125671941
229,WT,10,0,3,-6.47070728564058,0.6633064516129032,83.52929271435941
230,WT,10,0,4,-5.471700530345467,0.5044776119402985,84.52829946965453
231,WT,10,0,5,-7.585898383518025,0.6073536087153881,82.41410161648197
232,WT,10,0,6,-8.41777917960711,0.3725023786869648,81.58222082039289
233,WT,10,0,7,-9.454941696570591,0.3524102564102564,80.54505830342941
234,WT,10,0,8,-10.722441927050705,0.4139194139194139,79.27755807294929
235,WT,10,0,9,-14.196203348936091,0.292244175759363,75.8037966510639
236,WT,10,0,10,-15.487091330608074,0.2597104945717732,74.51290866939192
237,WT,10,0,11,-17.05350090451376,0.2603334899013621,72.94649909548625
238,WT,10,0,12,-18.538383007834955,0.3044768069039913,71.46161699216505
239,WT,10,0,13,-19.36848637972919,0.2787835759081765,70.63151362027081
240,WT,10,0,14,-20.70044366302117,0.2340272145624943,69.29955633697884
241,WT,10,0,15,-21.160929308430145,0.2272344013490725,68.83907069156986
242,WT,10,0,16,-22.687404949968627,0.2416590701914311,67.31259505003138
243,WT,10,0,17,-23.520667059489952,0.2596928982725527,66.47933294051005
244,WT,10,0,18,-24.90505335058665,0.2852886788576125,65.09494664941334
245,WT,10,0,19,-26.46611710557536,0.2818540433925049,63.533882894424636
246,WT,10,0,20,-27.756573143900912,0.3407074411451555,62.24342685609909
247,WT,10,0,21,-28.443230215677385,0.1929575648136205,61.55676978432261
248,WT,10,0,22,-28.84892627080139,0.1549215554289856,61.151073729198615
249,WT,10,0,23,-28.206916074331843,0.1619373776908023,61.79308392566816
250,WT,10,0,24,-29.07725170198164,0.123045849323369,60.92274829801836
251,WT,10,0,25,-30.469177644041167,0.1185953463077341,59.53082235595883
252,WT,10,0,26,-29.921925674706927,0.1337768587611256,60.07807432529307
253,WT,10,0,27,-29.19041429527723,0.1336475109809663,60.80958570472277
254,WT,10,0,28,-29.37061100362997,0.1438759843494626,60.629388996370025
255,WT,10,0,29,-28.53039802840308,0.1402810534591195,61.469601971596916
256,WT,10,0,30,-27.660773016006495,0.1506514224940175,62.339226983993505
261,WT,11,0,0,-4.766450147245358,0.810377358490566,85.23354985275463
262,WT,11,0,1,-7.2847916271081,0.5419382877009996,82.7152083728919
263,WT,11,0,2,-12.560463848364384,0.5304511278195488,77.43953615163562
264,WT,11,0,3,-13.145689051746803,0.4708963911525029,76.8543109482532
265,WT,11,0,4,-15.702416284209017,0.4715572715572715,74.29758371579098
266,WT,11,0,5,-17.993801958137833,0.5887926367081754,72.00619804186216
267,WT,11,0,6,-19.236429020786566,0.3986754966887417,70.76357097921343
268,WT,11,0,7,-20.5774342306449,0.4507789194564136,69.4225657693551
269,WT,11,0,8,-21.698313905599253,0.2773933102652826,68.30168609440075
270,WT,11,0,9,-23.86621619173824,0.2132808103545301,66.13378380826177
271,WT,11,0,10,-24.33439029261785,0.1998513655787452,65.66560970738215
272,WT,11,0,11,-25.78324446454454,0.15411041757391,64.21675553545546
273,WT,11,0,12,-27.42869429034768,0.1378179910831366,62.57130570965232
274,WT,11,0,13,-29.58742584289928,0.1270582551632513,60.41257415710072
275,WT,11,0,14,-30.047491142811463,0.1256353240152477,59.95250885718853
276,WT,11,0,15,-29.988392384115063,0.1364603691639522,60.01160761588494
277,WT,11,0,16,-31.187488970498627,0.126162179642655,58.81251102950137
278,WT,11,0,17,-32.18510824241214,0.1175292896336942,57.81489175758786
279,WT,11,0,18,-32.64853016669066,0.1180941576857629,57.35146983330934
