"dataset","sample","condition","frame","time_s","time_min","distance","percentage"
"cONTROL3","control2","control",899,467.5067003,7.79177833833333,12.3912056086104,119.463617876053
"cONTROL3","control2","control",949,493.5081853,8.22513642166667,11.8321776154808,114.074028786607
"cONTROL3","control2","control",999,519.5096703,8.658494505,12.0296846504742,115.978194184354
"cONTROL4","control3","control",0,0,0,13.4031381559986,100
"cONTROL4","control3","control",49,25.4324553,0.423874255,13.5895870876171,101.391084158414
"cONTROL4","control3","control",99,51.3839403,0.856399005,13.7394079172597,102.50888827189
"cONTROL4","control3","control",149,77.3354253,1.288923755,13.8853090278276,103.597447599339
"cONTROL4","control3","control",199,103.2869103,1.721448505,13.9657065922667,104.197288946218
"cONTROL4","control3","control",249,129.2383953,2.153973255,13.8044432330777,102.994112814539
"cONTROL4","control3","control",299,155.1898803,2.586498005,13.9006586998016,103.711970569969
"cONTROL4","control3","control",349,181.1413653,3.019022755,13.7394079172597,102.50888827189
"cONTROL4","control3","control",399,207.0928503,3.451547505,13.5817386393231,101.332527362217
"cONTROL4","control3","control",449,233.0443353,3.884072255,13.7394079172597,102.50888827189
"cONTROL4","control3","control",499,258.9958203,4.316597005,13.2920991296564,99.171544566281
"cONTROL4","control3","control",549,284.9473053,4.749121755,13.584093649942,101.350097953458
"cONTROL4","control3","control",599,310.8987903,5.181646505,13.7339744063881,102.468349177177
"cONTROL4","control3","control",649,336.8502753,5.614171255,13.1501578302224,98.1125291492797
"cONTROL4","control3","control",699,362.8017603,6.046696005,13.2896923760145,99.1535879234867
"cONTROL4","control3","control",749,388.7532453,6.479220755,13.4380960149493,100.260818463138
"cONTROL4","control3","control",799,414.7047303,6.911745505,13.72776204628,102.421999135599
"cONTROL4","control3","control",835,433.3897995,7.223163325,14.0562679359549,104.872961632974
"Lateral2","ablated1","ablated",0,0,0,15.4027166067016,100
"Lateral2","ablated1","ablated",49,25.4814602,0.424691003333333,16.2673086689403,105.613243977121
"Lateral2","ablated1","ablated",99,51.4829502,0.85804917,16.4342508683487,106.697093038759
"Lateral2","ablated1","ablated",149,77.4844402,1.29140733666667,16.4342508683487,106.697093038758
"Lateral2","ablated1","ablated",199,103.4859302,1.72476550333333,15.4276177275864,100.161667071599
"Lateral2","ablated1","ablated",249,129.4874202,2.15812367,12.8242160376897,83.2594428966508
"Lateral2","ablated1","ablated",299,155.4889102,2.59148183666667,11.6276498210385,75.4909027929487
"Lateral2","ablated1","ablated",349,181.4904002,3.02484000333333,10.9045738403202,70.7964323356811
"Lateral2","ablated1","ablated",399,207.4918902,3.45819817,10.1226451086543,65.7198685603942
"Lateral2","ablated1","ablated",449,233.4933802,3.89155633666667,9.81350802026802,63.7128389156899
"Lateral2","ablated1","ablated",499,259.4948702,4.32491450333333,9.93230687501126,64.4841239933596
"Lateral2","ablated1","ablated",549,285.4963602,4.75827267,11.1826387626709,72.6017302545542
"Lateral2","ablated1","ablated",599,311.4978502,5.19163083666667,11.2785310400504,73.2242975576347
"Lateral2","ablated1","ablated",649,337.4993402,5.62498900333333,11.8005950068891,76.6137254109756
