"Embryo","Stock","Genotype","View","Side","Fold","Position","Type"
"btd-gap_dorsal_1_z3_t45s_E8","btd","heterozygote","dorsal","right",TRUE,"post","EF"
"btd-gap_dorsal_1_z3_t45s_E12","btd","heterozygote","dorsal","right",TRUE,"post","EF"
"btd-gap_dorsal_1_z3_t45s_E13","btd","heterozygote","dorsal","left",TRUE,"post","EF"
"btd-gap_z3_t55s_E6","btd","homozygote","lateral","left",TRUE,"ant","EF"
"btd-gap2_z3_t55s_E7","btd","homozygote","lateral","left",TRUE,"ant","EF"
"btd-gap_z3_t55s_E14","btd","homozygote","lateral","left",TRUE,"ant","EF"
"btd-gap_dorsal_1_z3_t45s_E4","btd","homozygote","dorsal","left",TRUE,"ant","EF"
"btd-gap_dorsal_1_z3_t45s_E5","btd","homozygote","dorsal","left",TRUE,"ant","EF"
"btd-gap_dorsal_1_z3_t45s_E5","btd","homozygote","dorsal","right",TRUE,"ant","EF"
"btd-gap_dorsal_1_z3_t45s_E14","btd","homozygote","dorsal","left",TRUE,"ant","EF"
"btd-gap_z3_t55s_E6","btd","homozygote","lateral","left",TRUE,"mid","EF"
"btd-gap2_z3_t55s_E7","btd","homozygote","lateral","left",TRUE,"mid","EF"
"btd-gap_z3_t55s_E8","btd","homozygote","lateral","left",TRUE,"mid","EF"
"btd-hisgap1_E8","btd","homozygote","lateral","left",TRUE,"mid","EF"
"btd-hisgap1_E8","btd","homozygote","lateral","left",TRUE,"mid","EF"
"btd-gap_z3_t55s_E14","btd","homozygote","lateral","left",TRUE,"mid","EF"
"btd-gap_dorsal_1_z1.5_t51s_E2","btd","homozygote","dorsal","left",TRUE,"mid","EF"
"btd-gap_dorsal_1_z1.5_t51s_E2","btd","homozygote","dorsal","left",TRUE,"mid","EF"
"btd-gap_dorsal_1_z1.5_t51s_E2","btd","homozygote","dorsal","right",TRUE,"mid","EF"
"btd-gap_dorsal_1_z3_t45s_E4","btd","homozygote","dorsal","left",TRUE,"mid","EF"
"btd-gap_dorsal_1_z3_t45s_E4","btd","homozygote","dorsal","right",TRUE,"mid","EF"
"btd-gap_dorsal_1_z3_t45s_E5","btd","homozygote","dorsal","left",TRUE,"mid","EF"
"btd-gap_dorsal_1_z1.5_t51s_E6","btd","homozygote","dorsal","left",TRUE,"mid","EF"
"btd-gap_dorsal_1_z1.5_t51s_E6","btd","homozygote","dorsal","right",TRUE,"mid","EF"
"btd-gap_dorsal_1_z1.5_t51s_E10","btd","homozygote","dorsal","left",TRUE,"mid","EF"
"btd-gap_dorsal_1_z1.5_t51s_E10","btd","homozygote","dorsal","right",TRUE,"mid","EF"
"btd-gap_dorsal1_z3_t51s_E12","btd","homozygote","dorsal","left",TRUE,"mid","EF"
"btd-gap_dorsal1_z3_t51s_E12","btd","homozygote","dorsal","right",TRUE,"mid","EF"
"btd-gap_dorsal_1_z3_t45s_E14","btd","homozygote","dorsal","left",TRUE,"mid","EF"
"btd-gap_dorsal_1_z3_t45s_E14","btd","homozygote","dorsal","right",TRUE,"mid","EF"
"btd-gap_z3_t55s_E6","btd","homozygote","lateral","left",TRUE,"post","EF"
"btd-gap_z3_t55s_E8","btd","homozygote","lateral","left",TRUE,"post","EF"
"btd-hisgap1_E8","btd","homozygote","lateral","left",TRUE,"post","EF"
"btd-gap_dorsal_1_z1.5_t51s_E2","btd","homozygote","dorsal","left",TRUE,"post","EF"
"btd-gap_dorsal_1_z1.5_t51s_E2","btd","homozygote","dorsal","right",TRUE,"post","EF"
"btd-gap_dorsal_1_z3_t45s_E4","btd","homozygote","dorsal","left",TRUE,"post","EF"
"btd-gap_dorsal_1_z3_t45s_E5","btd","homozygote","dorsal","right",TRUE,"post","EF"
"btd-gap_dorsal_1_z1.5_t51s_E6","btd","homozygote","dorsal","left",TRUE,"post","EF"
"btd-gap_dorsal_1_z1.5_t51s_E6","btd","homozygote","dorsal","right",TRUE,"post","EF"
"btd-gap_dorsal_1_z1.5_t51s_E10","btd","homozygote","dorsal","left",TRUE,"post","EF"
"btd-gap_dorsal_1_z1.5_t51s_E10","btd","homozygote","dorsal","right",TRUE,"post","EF"
"btd-gap_dorsal1_z3_t51s_E12","btd","homozygote","dorsal","left",TRUE,"post","EF"
"btd-gap_dorsal1_z3_t51s_E12","btd","homozygote","dorsal","right",TRUE,"post","EF"
"btd-gap2_z3_t55s_E14","btd","homozygote","lateral","left",FALSE,NA,NA
"eve-gap_dorsal_1_z3_t52s_E8","eve","heterozygote","dorsal","right",TRUE,"ant","EF"
"eve-Gap_1_t45s_z3_E1","eve","heterozygote","lateral","left",TRUE,"mid","CF"
"eve-Gap_1_t45s_z3_E4","eve","heterozygote","lateral","left",TRUE,"mid","CF"
"eve-Gap1_t60s_z3_E4","eve","heterozygote","lateral","left",TRUE,"mid","CF"
"eve-Gap1_t60s_z3_E5","eve","heterozygote","lateral","left",TRUE,"mid","CF"
"eve-Gap1_t60s_z3_E9","eve","heterozygote","lateral","left",TRUE,"mid","CF"
"eve-Gap1_t60s_z3_E11","eve","heterozygote","lateral","left",TRUE,"mid","CF"
"eve-Gap1_t60s_z3_E16","eve","heterozygote","lateral","left",TRUE,"mid","CF"
"eve-gap_dorsal_1_z3_t52s_E1","eve","heterozygote","dorsal","left",TRUE,"mid","CF"
"eve-gap_dorsal_1_z3_t52s_E1","eve","heterozygote","dorsal","right",TRUE,"mid","CF"
"eve-gap_dorsal_1_z3_t52s_E2","eve","heterozygote","dorsal","left",TRUE,"mid","CF"
"eve-gap_dorsal_1_z3_t52s_E2","eve","heterozygote","dorsal","right",TRUE,"mid","CF"
"eve-gap_dorsal_2_z3_t53s_E2","eve","heterozygote","dorsal","left",TRUE,"mid","CF"
"eve-gap_dorsal_2_z3_t53s_E2","eve","heterozygote","dorsal","right",TRUE,"mid","CF"
"eve-gap_dorsal_2_z3_t53s_E3","eve","heterozygote","dorsal","left",TRUE,"mid","CF"
"eve-gap_dorsal_2_z3_t53s_E3","eve","heterozygote","dorsal","right",TRUE,"mid","CF"
"eve-gap_dorsal_1_z3_t52s_E4","eve","heterozygote","dorsal","left",TRUE,"mid","CF"
"eve-gap_dorsal_1_z3_t52s_E4","eve","heterozygote","dorsal","right",TRUE,"mid","CF"
"eve-gap_dorsal_2_z3_t53s_E5","eve","heterozygote","dorsal","left",TRUE,"mid","CF"
"eve-gap_dorsal_2_z3_t53s_E5","eve","heterozygote","dorsal","right",TRUE,"mid","CF"
"eve-gap_dorsal_1_z3_t52s_E8","eve","heterozygote","dorsal","left",TRUE,"mid","CF"
"eve-gap_dorsal_1_z3_t52s_E8","eve","heterozygote","dorsal","right",TRUE,"mid","CF"
"eve-gap_dorsal_2_z3_t53s_E9","eve","heterozygote","dorsal","right",TRUE,"mid","CF"
"eve-gap_dorsal_2_z3_t53s_E9","eve","heterozygote","dorsal","left",TRUE,"mid","CF"
"eve-gap_dorsal_1_z3_t52s_E10","eve","heterozygote","dorsal","left",TRUE,"mid","CF"
"eve-gap_dorsal_1_z3_t52s_E10","eve","heterozygote","dorsal","right",TRUE,"mid","CF"
"eve-gap_dorsal_1_z3_t52s_E11","eve","heterozygote","dorsal","left",TRUE,"mid","CF"
"eve-gap_dorsal_1_z3_t52s_E11","eve","heterozygote","dorsal","right",TRUE,"mid","CF"
"eve-gap_dorsal_2_z3_t53s_E11","eve","heterozygote","dorsal","left",TRUE,"mid","CF"
"eve-gap_dorsal_2_z3_t53s_E11","eve","heterozygote","dorsal","right",TRUE,"mid","CF"
"eve-gap_dorsal_1_z3_t52s_E12","eve","heterozygote","dorsal","left",TRUE,"mid","CF"
"eve-gap_dorsal_1_z3_t52s_E12","eve","heterozygote","dorsal","right",TRUE,"mid","CF"
"eve-gap_dorsal_2_z3_t53s_E12","eve","heterozygote","dorsal","left",TRUE,"mid","CF"
"eve-gap_dorsal_2_z3_t53s_E12","eve","heterozygote","dorsal","right",TRUE,"mid","CF"
"eve-gap_dorsal_2_z3_t53s_E13","eve","heterozygote","dorsal","left",TRUE,"mid","CF"
"eve-gap_dorsal_2_z3_t53s_E13","eve","heterozygote","dorsal","right",TRUE,"mid","CF"
"eve-gap_dorsal_1_z3_t52s_E15","eve","heterozygote","dorsal","right",TRUE,"mid","CF"
"eve-gap_dorsal_1_z3_t52s_E15","eve","heterozygote","dorsal","left",TRUE,"mid","CF"
"eve-gap_dorsal_2_z3_t53s_E15","eve","heterozygote","dorsal","left",TRUE,"mid","CF"
"eve-gap_dorsal_2_z3_t53s_E15","eve","heterozygote","dorsal","right",TRUE,"mid","CF"
"eve-gap_dorsal_1_z3_t52s_E17","eve","heterozygote","dorsal","left",TRUE,"mid","CF"
"eve-gap_dorsal_1_z3_t52s_E17","eve","heterozygote","dorsal","right",TRUE,"mid","CF"
"eve-gap_dorsal_2_z3_t53s_E17","eve","heterozygote","dorsal","left",TRUE,"mid","CF"
"eve-gap_dorsal_2_z3_t53s_E17","eve","heterozygote","dorsal","right",TRUE,"mid","CF"
"eve-gap_dorsal_2_z3_t53s_E19","eve","heterozygote","dorsal","left",TRUE,"mid","CF"
"eve-gap_dorsal_2_z3_t53s_E19","eve","heterozygote","dorsal","right",TRUE,"mid","CF"
"eve-Gap1_t60s_z3_E4","eve","heterozygote","lateral","left",TRUE,"post","EF"
"eve-Gap1_t60s_z3_E5","eve","heterozygote","lateral","left",TRUE,"post","EF"
"eve-Gap1_t60s_z3_E9","eve","heterozygote","lateral","left",TRUE,"post","EF"
"eve-Gap1_t60s_z3_E16","eve","heterozygote","lateral","left",TRUE,"post","EF"
"eve-gap_dorsal_2_z3_t53s_E11","eve","heterozygote","dorsal","left",TRUE,"post","EF"
"eve-gap_dorsal_2_z3_t53s_E11","eve","heterozygote","dorsal","right",TRUE,"post","EF"
"eve-gap_dorsal_1_z3_t52s_E17","eve","heterozygote","dorsal","right",TRUE,"post","EF"
"eve-Gap_1_t45s_z3_E11","eve","homozygote","lateral","left",TRUE,"ant","EF"
"eve-gap_dorsal_1_z3_t52s_E9","eve","homozygote","dorsal","left",TRUE,"ant","EF"
"eve-gap_dorsal_1_z3_t52s_E9","eve","homozygote","dorsal","left",TRUE,"ant","EF"
"eve-gap_dorsal_1_z3_t52s_E9","eve","homozygote","dorsal","right",TRUE,"ant","EF"
"eve-gap_dorsal_2_z3_t53s_E14","eve","homozygote","dorsal","left",TRUE,"ant","EF"
"eve-gap_dorsal_2_z3_t53s_E14","eve","homozygote","dorsal","right",TRUE,"ant","EF"
"eve-gap_dorsal_1_z3_t52s_E19","eve","homozygote","dorsal","left",TRUE,"ant","EF"
"eve-Gap1_t60s_z3_E2","eve","homozygote","lateral","left",TRUE,"mid","EF"
"eve-Gap1_t60s_z3_E3","eve","homozygote","lateral","left",TRUE,"mid","EF"
"eve-Gap1_t60s_z3_E12","eve","homozygote","lateral","left",TRUE,"mid","EF"
"eve-gap_dorsal_2_z3_t53s_E4","eve","homozygote","dorsal","right",TRUE,"mid","EF"
"eve-gap_dorsal_1_z3_t52s_E9","eve","homozygote","dorsal","left",TRUE,"mid","EF"
"eve-gap_dorsal_1_z3_t52s_E9","eve","homozygote","dorsal","right",TRUE,"mid","EF"
"eve-gap_dorsal_1_z3_t52s_E13","eve","homozygote","dorsal","right",TRUE,"mid","EF"
"eve-gap_dorsal_1_z3_t52s_E13","eve","homozygote","dorsal","left",TRUE,"mid","EF"
"eve-gap_dorsal_1_z3_t52s_E19","eve","homozygote","dorsal","right",TRUE,"mid","EF"
"eve-Gap1_t60s_z3_E2","eve","homozygote","lateral","left",TRUE,"post","EF"
"eve-Gap1_t60s_z3_E3","eve","homozygote","lateral","left",TRUE,"post","EF"
"eve-Gap_1_t45s_z3_E11","eve","homozygote","lateral","left",TRUE,"post","EF"
