"Embryo","Stock","Genotype","Side","Type","Fold"
"Gap,stg[2]_dorsal_1_z3_t60_E12","stg","heterozygote","left","EF",1
"Gap,stg[2]_dorsal_1_z3_t60_E13","stg","heterozygote","left","EF",1
"Gap,stg[2]_dorsal_1_z3_t60_E16","stg","heterozygote","left","EF",1
"Gap,stg[2]_dorsal_1_z3_t60_E3","stg","heterozygote","left","EF",1
"Gap,stg[2]_dorsal_1_z3_t60_E8","stg","heterozygote","left","EF",1
"Gap,stg[2]_green_1_z3_t52_E11","stg","heterozygote","left","EF",1
"Gap,stg[2]_green_1_z3_t52_E6","stg","heterozygote","left","EF",1
"Gap,stg[2]_green_1_z3_t52_E7","stg","heterozygote","left","EF",1
"Gap,stg[2]_dorsal_1_z3_t60_E11","stg","heterozygote","right","EF",1
"Gap,stg[2]_dorsal_1_z3_t60_E8","stg","heterozygote","right","EF",1
"Gap,stg[2]_dorsal_1_z3_t60_E9","stg","heterozygote","right","EF",1
"Gap,stg[2]_2_z3_t50s_E1","stg","homozygote","left","CF",1
"Gap,stg[2]_2_z3_t50s_E11","stg","homozygote","left","CF",1
"Gap,stg[2]_2_z3_t50s_E12","stg","homozygote","left","CF",1
"Gap,stg[2]_2_z3_t50s_E2","stg","homozygote","left","CF",1
"Gap,stg[2]_2_z3_t50s_E3","stg","homozygote","left","CF",1
"Gap,stg[2]_2_z3_t50s_E9","stg","homozygote","left","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E10","stg","homozygote","left","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E14","stg","homozygote","left","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E17","stg","homozygote","left","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E4","stg","homozygote","left","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E6","stg","homozygote","left","CF",1
"Gap,stg[2]_green_1_z3_t52_E14","stg","homozygote","left","CF",1
"Gap,stg[2]_green_1_z3_t52_E16","stg","homozygote","left","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E10","stg","homozygote","right","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E14","stg","homozygote","right","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E17","stg","homozygote","right","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E4","stg","homozygote","right","CF",1
"Gap,stg[2]_dorsal_1_z3_t60_E6","stg","homozygote","right","CF",1
"Gap,stg[2]_2_z3_t50s_E1","stg","homozygote","left","EF",1
"Gap,stg[2]_2_z3_t50s_E2","stg","homozygote","left","EF",1
"Gap,stg[2]_dorsal_1_z3_t60_E4","stg","homozygote","right","EF",1
"btd-gap-stg_1_z3_t45s_E8","btd-stg","double heterozygote","left","CF",1
"btd-gap-stg_3_z3_t53s_E12","btd-stg","double heterozygote","left","CF",1
"btd-gap-stg_3_z3_t53s_E13","btd-stg","double heterozygote","left","CF",1
"btd-gap-stg_3_z3_t53s_E14","btd-stg","double heterozygote","left","CF",1
"btd-gap-stg_3_z3_t53s_E3","btd-stg","double heterozygote","left","CF",1
"btd-gap-stg_4_z3_t59s_E1","btd-stg","double heterozygote","left","CF",1
"btd-gap-stg_4_z3_t59s_E11","btd-stg","double heterozygote","left","CF",1
"btd-gap-stg_4_z3_t59s_E13","btd-stg","double heterozygote","left","CF",1
"btd-gap-stg_4_z3_t59s_E14","btd-stg","double heterozygote","left","CF",1
"btd-gap-stg_4_z3_t59s_E16","btd-stg","double heterozygote","left","CF",1
"btd-gap-stg_4_z3_t59s_E3","btd-stg","double heterozygote","left","CF",1
"btd-gap-stg_4_z3_t59s_E4","btd-stg","double heterozygote","left","CF",1
"btd-gap-stg_4_z3_t59s_E6","btd-stg","double heterozygote","left","CF",1
"btd-gap-stg_7_z3_60s_E17","btd-stg","double heterozygote","left","CF",1
"btd-gap-stg_7_z3_60s_E19","btd-stg","double heterozygote","left","CF",1
"btd-gap-stg_7_z3_60s_E2","btd-stg","double heterozygote","left","CF",1
"btd-gap-stg_7_z3_60s_E5","btd-stg","double heterozygote","left","CF",1
"btd-gap-stg_3_z3_t53s_E3","btd-stg","double heterozygote","left","EF",1
"btd-gap-stg_4_z3_t59s_E1","btd-stg","double heterozygote","left","EF",1
"btd-gap-stg_7_z3_60s_E19","btd-stg","double heterozygote","left","EF",1
"btd-gap-stg_7_z3_60s_E2","btd-stg","double heterozygote","left","EF",1
"btd-gap-stg_1_z3_t45s_E12","btd-stg","btd homozygote","left","EF",1
"btd-gap-stg_1_z3_t45s_E3","btd-stg","btd homozygote","left","EF",3
"btd-gap-stg_3_z3_t53s_E11","btd-stg","btd homozygote","left","EF",2
"btd-gap-stg_3_z3_t53s_E2","btd-stg","btd homozygote","left","EF",1
"btd-gap-stg_4_z3_t59s_E10","btd-stg","btd homozygote","left","EF",2
"btd-gap-stg_4_z3_t59s_E7","btd-stg","btd homozygote","left","EF",2
"btd-gap-stg_4_z3_t59s_E8","btd-stg","btd homozygote","left","EF",1
"btd-gap-stg_7_z3_60s_E16","btd-stg","btd homozygote","left","EF",1
"btd-gap-stg_7_z3_60s_E20","btd-stg","btd homozygote","left","EF",1
"btd-gap-stg_8_z3_45s_E8","btd-stg","stg homozygote","left","CF",1
