"Embryo","Stock","Genotype","Side","Type","Fold"
"rgap_1b_z3_t60s_E4","wt","wildtype","left","EF",1
"rgap_1b_z3_t60s_E5","wt","wildtype","left","EF",1
"rgap_1b_z3_t60s_E6","wt","wildtype","left","EF",1
"rgap_1b_z3_t60s_E7","wt","wildtype","left","EF",1
"rgap_dorsal_1_z3_t60s_E10","wt","wildtype","left","EF",1
"rgap_dorsal_1_z3_t60s_E11","wt","wildtype","left","EF",1
"rgap_dorsal_1_z3_t60s_E13","wt","wildtype","left","EF",1
"rgap_dorsal_1_z3_t60s_E14","wt","wildtype","left","EF",1
"rgap_dorsal_1_z3_t60s_E15","wt","wildtype","left","EF",1
"rgap_dorsal_1_z3_t60s_E17","wt","wildtype","left","EF",1
"rgap_dorsal_1_z3_t60s_E18","wt","wildtype","left","EF",1
"rgap_dorsal_1_z3_t60s_E19","wt","wildtype","left","EF",1
"rgap_dorsal_1_z3_t60s_E21","wt","wildtype","left","EF",1
"rgap_dorsal_1_z3_t60s_E5","wt","wildtype","left","EF",1
"rgap_dorsal_1_z3_t60s_E6","wt","wildtype","left","EF",1
"rgap_dorsal_1_z3_t60s_E8","wt","wildtype","left","EF",1
"rgap_dorsal_1_z3_t60s_E12","wt","wildtype","right","EF",1
"rgap_dorsal_1_z3_t60s_E13","wt","wildtype","right","EF",1
"rgap_dorsal_1_z3_t60s_E14","wt","wildtype","right","EF",1
"rgap_dorsal_1_z3_t60s_E16","wt","wildtype","right","EF",1
"rgap_dorsal_1_z3_t60s_E17","wt","wildtype","right","EF",1
"rgap_dorsal_1_z3_t60s_E18","wt","wildtype","right","EF",1
"rgap_dorsal_1_z3_t60s_E19","wt","wildtype","right","EF",1
"rgap_dorsal_1_z3_t60s_E21","wt","wildtype","right","EF",1
"rgap_dorsal_1_z3_t60s_E22","wt","wildtype","right","EF",1
"rgap_dorsal_1_z3_t60s_E4","wt","wildtype","right","EF",1
"rgap_dorsal_1_z3_t60s_E5","wt","wildtype","right","EF",1
"rgap_dorsal_1_z3_t60s_E6","wt","wildtype","right","EF",1
"rgap_dorsal_1_z3_t60s_E7","wt","wildtype","right","EF",1
"rgap_dorsal_1_z3_t60s_E8","wt","wildtype","right","EF",1
"btd-gap_dorsal_1_z1.5_t51s_E1","btd","heterozygote","left","CF",1
"btd-gap_dorsal_1_z1.5_t51s_E11","btd","heterozygote","left","CF",1
"btd-gap_dorsal_1_z1.5_t51s_E13","btd","heterozygote","left","CF",1
"btd-gap_dorsal_1_z1.5_t51s_E14","btd","heterozygote","left","CF",1
"btd-gap_dorsal_1_z1.5_t51s_E15","btd","heterozygote","left","CF",1
"btd-gap_dorsal_1_z1.5_t51s_E4","btd","heterozygote","left","CF",1
"btd-gap_dorsal_1_z1.5_t51s_E5","btd","heterozygote","left","CF",1
"btd-gap_dorsal_1_z1.5_t51s_E8","btd","heterozygote","left","CF",1
"btd-gap_dorsal_1_z3_t45s_E1","btd","heterozygote","left","CF",1
"btd-gap_dorsal_1_z3_t45s_E10","btd","heterozygote","left","CF",1
"btd-gap_dorsal_1_z3_t45s_E12","btd","heterozygote","left","CF",1
"btd-gap_dorsal_1_z3_t45s_E13","btd","heterozygote","left","CF",1
"btd-gap_dorsal_1_z3_t45s_E15","btd","heterozygote","left","CF",2
"btd-gap_dorsal_1_z3_t45s_E2","btd","heterozygote","left","CF",1
"btd-gap_dorsal_1_z3_t45s_E3","btd","heterozygote","left","CF",1
"btd-gap_dorsal_1_z3_t45s_E6","btd","heterozygote","left","CF",1
"btd-gap_dorsal_1_z3_t45s_E7","btd","heterozygote","left","CF",1
"btd-gap_dorsal_1_z3_t45s_E8","btd","heterozygote","left","CF",1
"btd-gap_dorsal1_z3_t51s_E1","btd","heterozygote","left","CF",1
"btd-gap_dorsal1_z3_t51s_E10","btd","heterozygote","left","CF",1
"btd-gap_dorsal1_z3_t51s_E11","btd","heterozygote","left","CF",1
"btd-gap_dorsal1_z3_t51s_E3","btd","heterozygote","left","CF",1
"btd-gap_dorsal1_z3_t51s_E4","btd","heterozygote","left","CF",1
"btd-gap_dorsal1_z3_t51s_E5","btd","heterozygote","left","CF",1
"btd-gap_dorsal1_z3_t51s_E6","btd","heterozygote","left","CF",1
"btd-gap_dorsal1_z3_t51s_E8","btd","heterozygote","left","CF",1
"btd-gap_dorsal1_z3_t51s_E9","btd","heterozygote","left","CF",1
"btd-gap_z3_t55s_E10","btd","heterozygote","left","CF",1
"btd-gap_z3_t55s_E12","btd","heterozygote","left","CF",1
"btd-gap_z3_t55s_E3","btd","heterozygote","left","CF",1
"btd-gap2_z3_t55s_E12","btd","heterozygote","left","CF",1
"btd-gap2_z3_t55s_E8","btd","heterozygote","left","CF",1
"btd-hisgap1_E7","btd","heterozygote","left","CF",1
"btd-gap_dorsal_1_z1.5_t51s_E1","btd","heterozygote","right","CF",1
"btd-gap_dorsal_1_z1.5_t51s_E11","btd","heterozygote","right","CF",1
"btd-gap_dorsal_1_z1.5_t51s_E13","btd","heterozygote","right","CF",1
"btd-gap_dorsal_1_z1.5_t51s_E14","btd","heterozygote","right","CF",1
"btd-gap_dorsal_1_z1.5_t51s_E15","btd","heterozygote","right","CF",1
