"embryo","label_tf","size","x_ant","x_post","x_tf_buck","x_tf_deep","gb_pos_tf_buck","gb_pos_tf_deep","gb_pct_tf_buck","gb_pct_tf_deep","frame_gastr","frame_tf_buck","frame_tf_deep","experiment","author","stock","genotype","zygosity","view","xres","yres","zres","slices","timestep","frames","folds_left","folds_right","folds_avg","ectopic_folds","time_tf_buck","time_tf_deep"
"prd-Gap_1_t60s_E2","3D_prd-Gap_1_t60s_E2.tif:0078-0233-0990:77",489,38,527,391,339,353,301,27.8118609406953,38.4458077709611,53,72,78,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,60,170,2,NA,2,TRUE,19,25
"prd-Gap_1_t60s_E3","3D_prd-Gap_1_t60s_E3.tif:0073-0240-0968:72",464,44,508,473,341,429,297,7.54310344827587,35.9913793103448,52,59,73,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,60,170,2,NA,2,TRUE,7,21
"prd-Gap_1_t60s_E4","3D_prd-Gap_1_t60s_E4.tif:0079-0236-0978:78",500,29,529,369,332,340,303,32,39.4,52,72,79,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,60,170,2,NA,2,TRUE,20,27
"prd-Gap_1_t60s_E5","3D_prd-Gap_1_t60s_E5.tif:0078-0247-0999:77",506,32,538,492,354,460,322,9.09090909090909,36.3636363636364,58,63,78,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,60,170,2,NA,2,TRUE,5,20
"prd-Gap_1_t60s_E6","3D_prd-Gap_1_t60s_E6.tif:0070-0274-0974:69",492,32,524,479,359,447,327,9.14634146341463,33.5365853658537,49,56,70,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,60,170,1,NA,1,FALSE,7,21
"prd-Gap_1_t60s_E7","3D_prd-Gap_1_t60s_E7.tif:0045-0254-0992:44",480,43,523,475,373,432,330,10,31.25,28,35,45,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,60,170,1,NA,1,FALSE,7,17
"prd-Gap_1_t60s_E8","3D_prd-Gap_1_t60s_E8.tif:0084-0246-0962:83",485,32,517,390,319,358,287,26.1855670103093,40.8247422680412,59,74,84,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","heterozygote","lateral",0.2853696,0.2853696,3,NA,60,170,2,NA,2,TRUE,15,25
"prd-Gap_1_t60s_E9","3D_prd-Gap_1_t60s_E9.tif:0088-0273-0981:87",502,29,531,356,337,327,308,34.8605577689243,38.6454183266932,54,77,88,"2019-10-03_prd-Gap","bruno","prd","prd[4]/CyO,twi-GFP;Gap43-mCherry/MKRS","homozygote","lateral",0.2853696,0.2853696,3,NA,60,170,3,NA,3,TRUE,23,34
"rgap_1b_z3_t60s_E1","3D_rgap_1b_z3_t60s_E1.tif:0075-0215-0999:74",502,35,537,496,316,461,281,8.16733067729083,44.0239043824701,45,55,75,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,2,NA,2,TRUE,10,30
"rgap_1b_z3_t60s_E11","3D_rgap_1b_z3_t60s_E11.tif:0074-0215-0992:73",493,37,530,478,322,441,285,10.5476673427992,42.1906693711968,47,52,74,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,3,NA,3,TRUE,5,27
"rgap_1b_z3_t60s_E12","3D_rgap_1b_z3_t60s_E12.tif:0074-0240-0988:73",515,25,540,504,321,479,296,6.99029126213591,42.5242718446602,46,53,74,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,1,NA,1,FALSE,7,28
"rgap_1b_z3_t60s_E13","3D_rgap_1b_z3_t60s_E13.tif:0063-0218-0979:62",497,31,528,481,302,450,271,9.45674044265593,45.4728370221328,35,43,63,"2022-02-21_rgap","bruno","wt","RGap43-mCherry","wildtype","lateral",0.2858705,0.2858705,3,NA,60,142,1,NA,1,FALSE,8,28
