 	Label	Angle	Length
57	btd-gap_dorsal_1_z3_t45s_E10:L_1:c:2/2 z:8/15 t:66/220 - btd-gap_dorsal_1_z3_t45s #10	83.9	75.1
58	btd-gap_dorsal_1_z3_t45s_E12:R_1:c:2/2 z:8/15 t:48/220 - btd-gap_dorsal_1_z3_t45s #12	-92.7	71.7
59	btd-gap_dorsal_1_z3_t45s_E12:L_1:c:2/2 z:8/15 t:47/220 - btd-gap_dorsal_1_z3_t45s #12	91.6	68.4
60	btd-gap_dorsal_1_z3_t45s_E12:R_2:c:2/2 z:8/15 t:49/220 - btd-gap_dorsal_1_z3_t45s #12	-85.6	30.1
61	btd-gap_dorsal_1_z3_t45s_E13:R_1:c:2/2 z:3/15 t:66/220 - btd-gap_dorsal_1_z3_t45s #13	-93.2	71.7
62	btd-gap_dorsal_1_z3_t45s_E13:L_1:c:2/2 z:3/15 t:54/220 - btd-gap_dorsal_1_z3_t45s #13	76.6	81.3
63	btd-gap_dorsal_1_z3_t45s_E13:L_2:c:2/2 z:6/15 t:63/220 - btd-gap_dorsal_1_z3_t45s #13	69.0	38.2
64	btd-gap_dorsal_1_z3_t45s_E14:L_1:c:2/2 z:8/15 t:99/220 - btd-gap_dorsal_1_z3_t45s #14	76.7	38.0
65	btd-gap_dorsal_1_z3_t45s_E14:L_2:c:2/2 z:7/15 t:97/220 - btd-gap_dorsal_1_z3_t45s #14	94.4	63.0
66	btd-gap_dorsal_1_z3_t45s_E14:R_1:c:2/2 z:6/15 t:100/220 - btd-gap_dorsal_1_z3_t45s #14	-68.1	62.1
67	btd-gap_dorsal_1_z3_t45s_E2:R_1:c:2/2 z:7/15 t:55/220 - btd-gap_dorsal_1_z3_t45s #02	-75.7	73.6
68	btd-gap_dorsal_1_z3_t45s_E2:L_1:c:2/2 z:7/15 t:56/220 - btd-gap_dorsal_1_z3_t45s #02	84.1	70.4
69	btd-gap_dorsal_1_z3_t45s_E3:R_1:c:2/2 z:6/15 t:97/220 - btd-gap_dorsal_1_z3_t45s #03	-100.7	65.1
70	btd-gap_dorsal_1_z3_t45s_E3:L_1:c:2/2 z:6/15 t:97/220 - btd-gap_dorsal_1_z3_t45s #03	82.2	69.0
71	btd-gap_dorsal_1_z3_t45s_E4:R_1:c:2/2 z:4/15 t:84/220 - btd-gap_dorsal_1_z3_t45s #04	-91.0	49.1
72	btd-gap_dorsal_1_z3_t45s_E4:L_1:c:2/2 z:4/15 t:92/220 - btd-gap_dorsal_1_z3_t45s #04	55.3	55.2
73	btd-gap_dorsal_1_z3_t45s_E4:L_2:c:2/2 z:2/15 t:76/220 - btd-gap_dorsal_1_z3_t45s #04	67.8	61.9
74	btd-gap_dorsal_1_z3_t45s_E4:L_3:c:2/2 z:1/15 t:71/220 - btd-gap_dorsal_1_z3_t45s #04	104.0	59.1
75	btd-gap_dorsal_1_z3_t45s_E5:L_1:c:2/2 z:10/15 t:87/220 - btd-gap_dorsal_1_z3_t45s #05	59.2	45.2
76	btd-gap_dorsal_1_z3_t45s_E5:L_2:c:2/2 z:5/15 t:92/220 - btd-gap_dorsal_1_z3_t45s #05	88.0	80.7
77	btd-gap_dorsal_1_z3_t45s_E5:R_1:c:2/2 z:15/15 t:85/220 - btd-gap_dorsal_1_z3_t45s #05	-56.4	43.0
78	btd-gap_dorsal_1_z3_t45s_E5:R_2:c:2/2 z:5/15 t:79/220 - btd-gap_dorsal_1_z3_t45s #05	-115.3	56.2
79	btd-gap_dorsal_1_z3_t45s_E6:R_1:c:2/2 z:10/15 t:65/220 - btd-gap_dorsal_1_z3_t45s #06	-76.2	88.0
80	btd-gap_dorsal_1_z3_t45s_E6:L_1:c:2/2 z:10/15 t:66/220 - btd-gap_dorsal_1_z3_t45s #06	80.4	80.5
81	btd-gap_dorsal_1_z3_t45s_E6:R_2:c:2/2 z:2/15 t:73/220 - btd-gap_dorsal_1_z3_t45s #06	-72.9	35.8
82	btd-gap_dorsal_1_z3_t45s_E7:R_1:c:2/2 z:5/15 t:103/220 - btd-gap_dorsal_1_z3_t45s #07	-85.6	77.4
83	btd-gap_dorsal_1_z3_t45s_E7:L_1:c:2/2 z:7/15 t:103/220 - btd-gap_dorsal_1_z3_t45s #07	92.7	71.4
84	btd-gap_dorsal_1_z3_t45s_E8:R_1:c:2/2 z:9/15 t:94/220 - btd-gap_dorsal_1_z3_t45s #08	-72.5	84.7
85	btd-gap_dorsal_1_z3_t45s_E8:L_1:c:2/2 z:9/15 t:95/220 - btd-gap_dorsal_1_z3_t45s #08	97.1	83.5
86	btd-gap_dorsal_1_z3_t45s_E8:R_2:c:2/2 z:6/15 t:97/220 - btd-gap_dorsal_1_z3_t45s #08	-63.7	29.6
87	eve-gap_dorsal_1_z3_t52s_E1:R_1:c:2/2 z:3/15 t:72/174 - eve-gap_dorsal_1_z3_t52s #01	-110.7	65.9
88	eve-gap_dorsal_1_z3_t52s_E1:L_1:c:2/2 z:3/15 t:69/174 - eve-gap_dorsal_1_z3_t52s #01	98.7	59.2
89	eve-gap_dorsal_1_z3_t52s_E10:R_1:c:2/2 z:7/15 t:72/173 - eve-gap_dorsal_1_z3_t52s #10	-110.9	76.4
90	eve-gap_dorsal_1_z3_t52s_E10:L_1:c:2/2 z:7/15 t:72/173 - eve-gap_dorsal_1_z3_t52s #10	87.1	58.9
91	eve-gap_dorsal_1_z3_t52s_E11:R_1:c:2/2 z:6/15 t:87/173 - eve-gap_dorsal_1_z3_t52s #11	-100.7	49.1
92	eve-gap_dorsal_1_z3_t52s_E11:L_1:c:2/2 z:6/15 t:86/173 - eve-gap_dorsal_1_z3_t52s #11	95.3	62.2
93	eve-gap_dorsal_1_z3_t52s_E12:R_1:c:2/2 z:5/15 t:76/173 - eve-gap_dorsal_1_z3_t52s #12	-90.5	52.7
