"time","angle","tortuosity","angle_diff","type"
0,74.8175574890503,1.06518288561178,0,"control"
1,70.8727475829636,1.07491924792384,-3.94480990608672,"control"
2,73.0779902697181,1.07276347823844,-1.7395672193322,"control"
3,73.705390956308,1.07318438946754,-1.11216653274235,"control"
4,73.0271258509691,1.07386292263072,-1.79043163808129,"control"
5,75.0584514308875,1.06921066967789,0.240893941837186,"control"
6,73.4004025192994,1.07561986657337,-1.41715496975093,"control"
7,70.1668407020537,1.07931398126146,-4.6507167869967,"control"
8,67.7274591305511,1.08038943862161,-7.09009835849925,"control"
9,65.4959680268162,1.08087822668039,-9.32158946223412,"control"
10,63.9190822531354,1.08023806975786,-10.898475235915,"control"
11,63.7706349217143,1.07924435825149,-11.046922567336,"control"
12,62.6961710331905,1.07875667952851,-12.1213864558599,"control"
13,62.2920970418925,1.07615370841868,-12.5254604471578,"control"
14,61.0791920490816,1.07503925808089,-13.7383654399687,"control"
15,58.9080320062855,1.06261407418887,-15.9095254827648,"control"
16,57.5983705536922,1.05946626836129,-17.2191869353581,"control"
17,56.5422832891303,1.05866839439676,-18.2752741999201,"control"
18,54.5174019926937,1.05255260975421,-20.3001554963566,"control"
19,54.4150379476027,1.0514392647219,-20.4025195414476,"control"
20,55.2198801186404,1.05265373826935,-19.59767737041,"control"
21,56.3183862730427,1.0597962584301,-18.4991712160077,"control"
22,57.8214581923632,1.06188549377438,-16.9960992966872,"control"
23,59.0963608122703,1.06614301854755,-15.7211966767801,"control"
24,59.1600728168481,1.06926981048127,-15.6574846722022,"control"
25,59.6622010038708,1.06795916143196,-15.1553564851796,"control"
26,60.5622286911817,1.07099208178013,-14.2553287978686,"control"
27,61.6116257854516,1.07280343869164,-13.2059317035987,"control"
28,61.8217633854563,1.07272659368255,-12.9957941035941,"control"
29,61.9685578110982,1.07174268479838,-12.8489996779522,"control"
30,60.7669636115528,1.07300862344401,-14.0505938774975,"control"
0,80.6963149680587,1.04492874162159,0,"control"
1,80.6985279493497,1.05174988914106,0.0022129812910804,"control"
2,79.193318180819,1.05316022834219,-1.50299678723965,"control"
3,78.2896909838155,1.0576722375029,-2.40662398424317,"control"
4,76.2224932503761,1.0655655029757,-4.47382171768254,"control"
5,74.0688048314769,1.07102034258295,-6.62751013658179,"control"
6,73.615157327183,1.07098833886587,-7.0811576408757,"control"
7,70.5902372985136,1.07800697645999,-10.1060776695451,"control"
8,70.2709942567072,1.07803249117065,-10.4253207113515,"control"
9,68.5913551171526,1.08046163829328,-12.104959850906,"control"
10,66.9068392225308,1.08084527674187,-13.7894757455279,"control"
11,66.0452791606253,1.08061061664712,-14.6510358074333,"control"
12,64.5848959236174,1.08086233030932,-16.1114190444413,"control"
13,63.0154345655644,1.08166679806021,-17.6808804024943,"control"
14,61.1696100933143,1.08815958569236,-19.5267048747444,"control"
15,59.9978706506311,1.07802546970117,-20.6984443174276,"control"
16,58.9208112902226,1.07896849106878,-21.7755036778361,"control"
17,58.3707283450373,1.07160102756784,-22.3255866230214,"control"
18,57.4326769946169,1.06524570280334,-23.2636379734418,"control"
19,57.2691315300355,1.07031013530875,-23.4271834380231,"control"
20,57.3865663875301,1.06788286686538,-23.3097485805285,"control"
21,58.0777610409679,1.07378975961522,-22.6185539270907,"control"
22,58.8379269446445,1.07240450945996,-21.8583880234142,"control"
0,81.9100669043266,1.04630398625658,0,"control"
1,82.3003165927445,1.04782941972399,0.390249688417853,"control"
2,81.2302718366136,1.05227896235086,-0.679795067713016,"control"
3,80.9610326097209,1.05371338292916,-0.949034294605752,"control"
4,78.7028422965204,1.06456715226376,-3.2072246078062,"control"
5,74.5519246020394,1.07209287873515,-7.35814230228722,"control"
6,72.8196725153083,1.07585372901933,-9.09039438901835,"control"
7,72.1345157490968,1.0773383922451,-9.77555115522983,"control"
8,72.0478064975835,1.07806274067685,-9.86226040674315,"control"
9,71.0340151794568,1.07939908590472,-10.8760517248698,"control"
10,67.966010317503,1.08470980758408,-13.9440565868236,"control"
11,66.136783204936,1.08047387093114,-15.7732836993906,"control"
12,62.7477457916132,1.08257227669767,-19.1623211127134,"control"
13,60.1347613019765,1.0813802892565,-21.7753056023501,"control"
14,59.4462031015583,1.09453034083105,-22.4638638027683,"control"
15,59.052920809149,1.09363200787255,-22.8571460951776,"control"
16,59.2385038790874,1.09030199298007,-22.6715630252392,"control"
17,60.8170493887366,1.09224854527627,-21.0930175155901,"control"
18,60.8450941454686,1.09348853019554,-21.064972758858,"control"
19,61.0418240841325,1.08504236751824,-20.8682428201941,"control"
20,61.0962606918175,1.0711496627677,-20.8138062125091,"control"
21,62.1586488058888,1.07367408990973,-19.7514180984378,"control"
22,61.0152136671261,1.07527342634794,-20.8948532372005,"control"
23,61.7057321318361,1.07793525097974,-20.2043347724905,"control"
24,62.0905244991071,1.07825105500287,-19.8195424052195,"control"
25,62.6828658246873,1.08004953339737,-19.2272010796393,"control"
26,63.4164076509791,1.07973525744963,-18.4936592533475,"control"
27,63.7094159361835,1.08011955339444,-18.2006509681431,"control"
28,62.7881190397972,1.07881045679706,-19.1219478645294,"control"
29,63.6703335937527,1.0794090864246,-18.2397333105739,"control"
30,64.4831397653626,1.08013778771332,-17.426927138964,"control"
0,75.9356867769381,1.06753147972803,0,"control"
1,79.1249206664705,1.05860924348844,3.18923388953239,"control"
2,78.1702992771237,1.06124994847334,2.23461250018556,"control"
3,76.7572629114423,1.06712123070154,0.821576134504156,"control"
4,75.3553324333513,1.06860146410017,-0.580354343586819,"control"
5,74.7036640846404,1.07170507603637,-1.23202269229773,"control"
6,73.0755655525628,1.07635335261674,-2.86012122437533,"control"
7,72.2860844769685,1.07748159016163,-3.6496022999696,"control"
8,69.3753720414109,1.08061170342202,-6.56031473552721,"control"
9,68.5857475318441,1.08089782839848,-7.34993924509405,"control"
10,67.7061967516649,1.08443129345989,-8.22949002527327,"control"
11,65.600012298443,1.08768049940375,-10.3356744784951,"control"
12,62.1115546515616,1.09223751370983,-13.8241321253766,"control"
13,61.5630631404529,1.09473941783677,-14.3726236364853,"control"
14,59.974245026292,1.11263973351617,-15.9614417506461,"control"
15,57.9216570674873,1.11854033094997,-18.0140297094508,"control"
16,57.7012263724035,1.11700422324641,-18.2344604045347,"control"
17,57.3222191753594,1.11501393321584,-18.6134676015787,"control"
0,68.3510827225299,1.07819576946093,0,"control"
1,71.2880299146896,1.0773400494577,2.93694719215964,"control"
2,71.8954113168221,1.07558545669806,3.5443285942922,"control"
3,72.2313200202034,1.076266323512,3.88023729767342,"control"
4,71.8089752728756,1.07597488600508,3.45789255034568,"control"
5,72.400278409702,1.07418597525954,4.04919568717202,"control"
6,71.8315900292175,1.07491456830182,3.48050730668759,"control"
7,71.0239884617552,1.07694042885963,2.67290573922529,"control"
8,69.8289239230564,1.07924640012299,1.4778412005265,"control"
9,69.4860074455868,1.07917913943019,1.13492472305683,"control"
10,67.6104989712038,1.08113392481479,-0.740583751326142,"control"
11,67.0942391227884,1.08125123185494,-1.25684359974156,"control"
12,64.5902303013592,1.07929220926655,-3.76085242117075,"control"
13,64.1912243104254,1.08780886743599,-4.15985841210457,"control"
14,61.9123248636615,1.09640380027408,-6.43875785886849,"control"
15,60.1454505480275,1.10628709139824,-8.20563217450241,"control"
16,59.4702385372476,1.12939860184749,-8.88084418528236,"control"
17,57.6774573140918,1.13935727889075,-10.6736254084381,"control"
0,82.2206219455087,1.03818961100317,0,"control"
1,80.2979715054744,1.05212183869179,-1.92265044003439,"control"
2,80.2775970511802,1.05035503071199,-1.94302489432854,"control"
3,76.8962777516195,1.06503783712096,-5.3243441938892,"control"
4,75.4648408563141,1.07026681773472,-6.75578108919463,"control"
5,74.9065548539356,1.07148292796449,-7.31406709157314,"control"
6,73.4965101111107,1.07331575408978,-8.72411183439807,"control"
7,73.3006407762822,1.07732696605409,-8.91998116922653,"control"
8,71.0531943506462,1.07915934571275,-11.1674275948625,"control"
9,70.1987240250993,1.08019261492613,-12.0218979204095,"control"
10,68.7177819186896,1.08099668714258,-13.5028400268192,"control"
11,67.0322278353138,1.08100571901878,-15.1883941101949,"control"
12,66.0046668558205,1.08056240476116,-16.2159550896883,"control"
13,66.0649569356241,1.08035862258271,-16.1556650098846,"control"
14,64.6447488713142,1.0853336781307,-17.5758730741945,"control"
15,64.2103420099122,1.09244238814257,-18.0102799355965,"control"
16,61.7269671899657,1.08855040654105,-20.4936547555431,"control"
17,60.6636365097889,1.07734953633473,-21.5569854357199,"control"
18,59.2199394249233,1.07891062308707,-23.0006825205854,"control"
19,58.083628173465,1.08310109485075,-24.1369937720438,"control"
20,57.1270704254884,1.0733724554697,-25.0935515200203,"control"
21,57.0495238727467,1.07022003076386,-25.1710980727621,"control"
22,56.4852717001282,1.06894307846846,-25.7353502453806,"control"
23,57.4863622814932,1.0728868245317,-24.7342596640156,"control"
0,73.3871451221204,1.07321091582455,0,"control"
1,73.5465139260243,1.07152041225311,0.159368803903902,"control"
2,73.4497847869986,1.07558545669806,0.0626396648781764,"control"
3,71.2507917233347,1.08543317368849,-2.13635339878576,"control"
4,69.4471641597769,1.07926875150076,-3.93998096234353,"control"
5,67.7249592813149,1.08077159825209,-5.66218584080556,"control"
6,67.1744255436443,1.08040070574355,-6.2127195784761,"control"
7,67.732677395077,1.08106918156021,-5.65446772704344,"control"
8,65.835435258755,1.0801755332232,-7.55170986336539,"control"
9,64.7304404246412,1.08045700021959,-8.65670469747923,"control"
10,64.5922861882994,1.07962821429974,-8.79485893382108,"control"
11,62.4814776970094,1.07589738392607,-10.905667425111,"control"
12,61.2686888174145,1.0800393422956,-12.118456304706,"control"
13,58.9138718180259,1.07251090499886,-14.4732733040946,"control"
14,57.0456853064331,1.08295589590231,-16.3414598156873,"control"
15,55.8400578801829,1.06933560907361,-17.5470872419375,"control"
16,54.4055952110752,1.07479579343808,-18.9815499110453,"control"
17,52.4751856761436,1.10154915288827,-20.9119594459768,"control"
18,50.6900713403312,1.10635646389458,-22.6970737817892,"control"
19,49.1769966089712,1.09964301365149,-24.2101485131492,"control"
20,49.9332385689696,1.09936539338516,-23.4539065531508,"control"
21,51.0047859667179,1.09263990929903,-22.3823591554025,"control"
22,52.269624302883,1.09753995423835,-21.1175208192375,"control"
23,53.6779444229425,1.10899380255329,-19.709200699178,"control"
24,54.0563573935287,1.11633955202689,-19.3307877285918,"control"
25,54.8062233719369,1.10769430167587,-18.5809217501836,"control"
26,55.4414582855047,1.1146991521938,-17.9456868366157,"control"
27,55.4846387414376,1.12500164062034,-17.9025063806829,"control"
28,56.9666258667902,1.12902676299822,-16.4205192553302,"control"
29,55.5828671069861,1.12974944834674,-17.8042780151343,"control"
30,55.9699578329128,1.13663284458458,-17.4171872892076,"control"
0,70.2440969717557,1.07529520425364,0,"control"
1,70.8781229418404,1.07641331828849,0.634025970084778,"control"
2,71.1264822804404,1.07720919110853,0.882385308684775,"control"
3,70.435581325137,1.07745701318455,0.191484353381313,"control"
4,69.1509730064193,1.0788533368502,-1.09312396533635,"control"
5,68.2889211708937,1.08027524446111,-1.95517580086199,"control"
6,67.7857001536038,1.08061272295989,-2.45839681815185,"control"
7,66.242603325747,1.08064736418731,-4.00149364600864,"control"
8,64.7636078232508,1.08030877972858,-5.48048914850487,"control"
9,63.1527213678816,1.0796876819025,-7.09137560387403,"control"
10,62.3030390049429,1.07893082619424,-7.94105796681279,"control"
11,61.7164896797788,1.07321600759861,-8.52760729197681,"control"
12,60.2906740301603,1.07574771855977,-9.95342294159531,"control"
13,59.6757725897516,1.07245966487037,-10.568324382004,"control"
14,59.5746857900354,1.07455081044754,-10.6694111817202,"control"
15,59.8797015478007,1.06669115135247,-10.364395423955,"control"
16,58.7235964081276,1.07049723911255,-11.520500563628,"control"
17,58.4959257125236,1.0650825447804,-11.7481712592321,"control"
18,59.3205003000734,1.06908892474753,-10.9235966716823,"control"
0,75.7495026503527,1.06519670464926,0,"control"
1,74.4986832774591,1.07208964793706,-1.25081937289362,"control"
2,73.6584470661425,1.07281039961652,-2.09105558421024,"control"
3,72.1810566581012,1.07639399770416,-3.56844599225151,"control"
4,71.2055895314075,1.07763988862709,-4.54391311894521,"control"
5,68.5061348468784,1.08072813809618,-7.24336780347434,"control"
6,67.7458050186618,1.08094261165563,-8.00369763169098,"control"
7,66.2234924564493,1.08055672288394,-9.52601019390343,"control"
8,65.2183003464877,1.07964081369807,-10.531202303865,"control"
9,64.0245130531637,1.07833456175858,-11.724989597189,"control"
10,64.688769440515,1.08149378810768,-11.0607332098378,"control"
