pos	btd	eve	slp
116.103	488.240	6611.280	562.070
116.550	495.280	6530.590	558.940
116.996	552.380	6516.870	560.150
117.443	577.040	6428.540	571.210
117.889	531.760	6343.210	568.760
118.336	513.880	6423.400	567.380
118.782	494.380	6498.420	555.160
119.229	474.360	6513.020	537.790
119.675	473.140	6357.470	533.110
120.122	500.400	6157.670	555.390
120.568	543.810	5834.870	552.200
121.015	518.310	5633.630	542.480
121.462	492.400	5563.920	557.960
121.908	485.570	5358.320	561.160
122.355	497.960	5268.450	557.650
122.801	518.960	5115.020	555.290
123.248	503.560	4964.690	554.410
123.694	486.480	4652.470	565.330
124.141	488.360	4399.160	563.710
124.587	492.050	4269.870	556.330
125.034	480.350	4210.430	555.170
125.481	478.490	4306.480	557.310
125.927	515.180	4130.130	559.350
126.374	547.000	3869.060	548.980
126.820	541.580	3710.330	555.860
127.267	540.320	3662.040	559.890
127.713	550.760	3400.620	555.230
128.160	555.180	3154.780	553.370
128.606	545.280	3055.360	557.280
129.053	540.880	3067.110	559.810
129.499	539.860	3026.620	559.860
129.946	519.910	2958.100	562.850
130.393	501.890	2952.370	565.680
130.839	491.540	2877.610	572.240
131.286	513.690	2684.760	553.080
131.732	521.420	2581.060	545.600
132.179	497.690	2578.560	563.230
132.625	478.020	2539.460	558.390
133.072	481.960	2442.880	554.520
133.518	481.410	2385.570	547.440
133.965	460.780	2357.610	563.770
134.412	439.960	2343.490	551.230
134.858	438.240	2361.410	547.110
135.305	469.420	2363.690	553.860
135.751	504.810	2308.300	556.820
136.198	542.880	2295.860	552.610
136.644	493.190	2289.330	553.110
137.091	452.750	2376.190	558.090
137.537	441.080	2396.910	555.820
137.984	440.440	2338.100	570.660
138.430	450.680	2266.600	544.770
138.877	440.780	2235.790	546.300
139.324	431.270	2297.810	543.380
139.770	453.920	2373.450	555.610
140.217	441.290	2445.630	553.220
140.663	453.030	2477.510	577.600
141.110	457.920	2432.100	565.220
141.556	468.850	2368.510	566.770
142.003	467.890	2435.550	572.100
142.449	443.550	2523.810	558.690
