experiment,dataset,date,scope,stock,medium,hypoxia,normoxia,position,condition,timestep,frame_experiment_start,frame_experiment_end,frame_hypoxia_start,frame_hypoxia_end,frame_gastrulation,frame_cf_folding_start,frame_gb_extension_start,frame_gb_extension_end,frame_clypeolabrum_start,frame_gb_retraction_start,frame_gb_retraction_end,frame_head_involution_start,frame_head_involution_end,frame_dorsal_closure_start,frame_dorsal_closure_end,frame_gut_partition_start,frame_gut_partition_end,frame_twitching_start,frame_tracheae_start,frame_hatching,time_plucking,bad_embryo,bad_twins,cephalic_furrow,hatched,discard,observations
2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos6_RGB.tif,2024-07-22,L2,RGap,H200,10,20.4,6,evil_twins,3,1,483,10,41,12,12,,,,,133,,,,,,,,,390,25,FALSE,FALSE,TRUE,TRUE,FALSE,
2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos7_RGB.tif,2024-07-22,L2,RGap,H200,10,20.4,7,control,3,1,483,10,41,23,23,,,,,135,,,,,,,,,385,25,FALSE,FALSE,TRUE,TRUE,FALSE,
2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos8_RGB.tif,2024-07-22,L2,RGap,H200,10,20.4,8,evil_twins,3,1,483,10,41,27,41,,,,,155,,,,,,,,,,25,FALSE,FALSE,FALSE,FALSE,FALSE,
2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos9_RGB.tif,2024-07-22,L2,RGap,H200,10,20.4,9,evil_twins,3,1,483,10,41,10,10,,,,,138,,,,,,,,,392,25,FALSE,FALSE,TRUE,TRUE,FALSE,
2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos10_RGB.tif,2024-07-22,L2,RGap,H200,10,20.4,10,evil_twins,3,1,483,10,41,21,40,,,,,144,,,,,,,,,,25,FALSE,FALSE,FALSE,FALSE,FALSE,
2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos11_RGB.tif,2024-07-22,L2,RGap,H200,10,20.4,11,evil_twins,3,1,483,10,41,18,21,,,,,142,,,,,,,,,466,25,FALSE,FALSE,FALSE,TRUE,FALSE,
2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos12_RGB.tif,2024-07-22,L2,RGap,H200,10,20.4,12,control,3,1,483,10,41,9,8,,,,,131,,,,,,,,,439,25,FALSE,FALSE,TRUE,TRUE,FALSE,
2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos13_RGB.tif,2024-07-22,L2,RGap,H200,10,20.4,13,evil_twins,3,1,483,10,41,,,,,,,,,,,,,,,,,25,TRUE,FALSE,,FALSE,FALSE,Bad embryo.
2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos14_RGB.tif,2024-07-22,L2,RGap,H200,10,20.4,14,evil_twins,3,1,483,10,41,18,24,,,,,141,,,,,,,,,416,25,FALSE,FALSE,FALSE,TRUE,FALSE,
2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos15_RGB.tif,2024-07-22,L2,RGap,H200,10,20.4,15,control,3,1,483,10,41,23,23,,,,,136,,,,,,,,,370,25,FALSE,FALSE,TRUE,TRUE,FALSE,
