 	Label	Area	StdDev	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	IntDen	Median	Skew	Kurt	RawIntDen	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
39	prd-Gap_1_t60s_E2_CARE_s19_0x0_w1695_h1010_fliph_f47-116.1.roi:1	11470.000	46.714	258.276	563.222	258.386	563.432	586.039	215.000	450.000	89.000	231.000	215.599	67.737	79.771	0.420	233.788	4199947.000	357	0.819	0.507	4199947.000	239	681	81.142	84.791	3.183	0.314	0.820
40	prd-Gap_1_t60s_E2_CARE_s19_0x0_w1695_h1010_fliph_f47-116.2.roi:1	54406.000	37.287	563.543	359.122	563.434	362.670	1316.788	477.000	166.000	195.000	482.000	459.914	150.619	79.519	0.394	494.291	21854969.000	393	1.180	1.876	21854969.000	501	648	76.189	185.292	3.053	0.327	0.858
41	prd-Gap_1_t60s_E3_CARE_s22_0x0_w1544_h998_fliph_f49-118.1.roi:1	9455.000	57.460	210.805	513.455	211.576	513.137	594.139	162.000	434.000	102.000	225.000	188.584	63.836	89.385	0.337	225.435	3517923.000	359	1.132	1.103	3517923.000	206	659	86.440	101.222	2.954	0.339	0.637
42	prd-Gap_1_t60s_E3_CARE_s22_0x0_w1544_h998_fliph_f49-118.2.roi:1	75500.000	40.868	490.631	407.822	490.675	408.315	1533.381	396.000	143.000	200.000	598.000	591.717	162.459	83.871	0.404	605.036	29913556.000	388	1.038	1.629	29913556.000	429	741	81.254	187.400	3.642	0.275	0.859
43	prd-Gap_1_t60s_E4_CARE_s19_0x0_w1743_h984_flipn_f46-115.1.roi:1	12364.000	52.854	254.601	463.120	254.817	464.013	592.240	208.000	349.000	102.000	221.000	202.520	77.732	82.977	0.443	223.164	4717267.000	371	0.826	0.252	4717267.000	238	570	82.015	91.782	2.605	0.384	0.810
44	prd-Gap_1_t60s_E4_CARE_s19_0x0_w1743_h984_flipn_f46-115.2.roi:1	42148.000	38.500	558.332	266.665	558.931	269.686	1109.651	476.000	98.000	171.000	407.000	387.370	138.536	84.262	0.430	409.275	17751348.000	414	0.907	0.971	17751348.000	510	505	81.712	168.207	2.796	0.358	0.838
45	prd-Gap_1_t60s_E5_CARE_s22_0x0_w1800_h1032_fliph_f50-119.1.roi:1	13682.000	41.282	285.627	494.047	285.991	493.936	555.654	239.000	382.000	93.000	218.000	211.607	82.325	81.974	0.557	220.952	4736161.000	338	0.780	0.056	4736161.000	280	600	80.623	91.875	2.570	0.389	0.882
46	prd-Gap_1_t60s_E5_CARE_s22_0x0_w1800_h1032_fliph_f50-119.2.roi:1	128277.000	36.654	593.866	427.537	594.566	429.281	2077.680	473.000	55.000	254.000	832.000	817.245	199.851	83.104	0.373	836.013	47479869.000	360	1.278	2.096	47479869.000	519	887	81.124	226.672	4.089	0.245	0.855
47	prd-Gap_1_t60s_E6_CARE_s21_0x0_w1720_h988_fliph_f41-110.1.roi:1	118040.000	47.284	537.177	400.466	537.673	407.183	1873.815	437.000	67.000	218.000	749.000	740.261	203.027	86.484	0.422	750.351	50325226.000	415	0.911	0.501	50325226.000	488	816	86.562	217.337	3.646	0.274	0.908
48	prd-Gap_1_t60s_E7_CARE_s21_0x0_w1653_h1016_fliph_f17-86.1.roi:1	118011.000	43.091	524.477	406.091	524.476	408.447	1876.886	415.000	100.000	242.000	733.000	713.565	210.571	84.638	0.421	738.241	50199708.000	415	0.996	0.764	50199708.000	468	833	81.431	241.740	3.389	0.295	0.892
