"Label","Embryo","Stock","Genotype","View","Side","Fold","Position","Type","Area","StdDev","X","Y","XM","YM","Perim.","BX","BY","Width","Height","Major","Minor","Angle","Circ.","Feret","IntDen","Median","Skew","Kurt","RawIntDen","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity","AreaCorr","E"
"rgap_1b_z3_t60s_E15_s20_0x70_w1777_h980_fliph_f45-114.2.roi","rgap_1b_z3_t60s_E15","wt","wildtype","lateral","left",TRUE,"mid","CF",126625,507.596,565.987,595.025,567.517,586.165,1858.4,418,279,300,655,653.28,246.792,83.534,0.461,657.475,310136441,2301,1.18,1.268,310136441,497,934,85.026,280.26,2.647,0.378,0.878,10251.997106,15
"rgap_1b_z3_t60s_E16_s18_0x0_w1714_h950_flipn_f25-94.2.roi","rgap_1b_z3_t60s_E16","wt","wildtype","lateral","left",TRUE,"mid","CF",149925,617.85,521.797,510.603,525.202,499.687,2030.425,369,195,320,699,719.839,265.185,79.935,0.457,716.495,408482916,2597,0.986,0.935,408482916,436,894,76.604,304.033,2.714,0.368,0.898,11869.307346,16
"rgap_1b_z3_t60s_E17_s19_0x30_w1775_h950_flipn_f46-115.2.roi","rgap_1b_z3_t60s_E17","wt","wildtype","lateral","left",TRUE,"mid","CF",145955,625.757,570.868,528.617,572.788,519.706,2055.437,423,197,304,708,713.516,260.451,81.393,0.434,715.959,405622063,2630,1.155,1.5,405622063,469,903,80.432,281.782,2.74,0.365,0.901,11778.171263,17
"rgap_1b_z3_t60s_E3_s20_0x50_w1737_h890_fliph_f23-92.3.roi","rgap_1b_z3_t60s_E3","wt","wildtype","lateral","left",TRUE,"post","EF",14522,818.653,771.826,322.558,771.695,322.527,615.553,727,221,96,228,215.57,85.772,84.875,0.482,228.079,51907859,3432,0.717,0.142,51907859,758,221,91.507,95.478,2.513,0.398,0.878,1193.040993,3
"rgap_1b_z3_t60s_E5_s20_0x55_w1740_h905_fliph_f47-116.3.roi","rgap_1b_z3_t60s_E5","wt","wildtype","lateral","left",TRUE,"post","EF",10870,262.691,732.727,136.297,732.947,136.679,479.772,685,53,94,169,169.248,81.774,89.211,0.593,171.47,30432548,2738,1.263,2.473,30432548,722,222,80.263,91.753,2.07,0.483,0.903,902.678055,5
"rgap_1b_z3_t60s_E11_s20_0x80_w1738_h950_fliph_f38-107.3.roi","rgap_1b_z3_t60s_E11","wt","wildtype","lateral","left",TRUE,"post","EF",6601,346.527,759.408,224.475,759.301,226.306,398.96,724,157,68,137,135.941,61.826,88.975,0.521,138.755,18946149,2801,1.141,1.505,18946149,745,294,80.877,67.6,2.199,0.455,0.855,545.08007,11
"rgap_1b_z3_t60s_E16_s18_0x0_w1714_h950_flipn_f25-94.3.roi","rgap_1b_z3_t60s_E16","wt","wildtype","lateral","left",TRUE,"post","EF",4941,353.591,745.028,267.543,744.708,268.902,378.032,714,202,62,143,136.61,46.051,83.755,0.434,145.527,14550308,2889,0.877,0.756,14550308,742,345,79.308,59.657,2.966,0.337,0.784,423.382537,16
"btd-gap_z3_t55s_E3_CARE_s20_0x0_w1606_h999_flipn_f38-107.1.roi","btd-gap_z3_t55s_E3","btd","heterozygote","lateral","left",TRUE,"mid","CF",11280.522,188.34,135.115,117.627,134.915,119.722,596.675,96.768,14.845,82.198,228.999,232.286,61.832,79.496,0.398,233.517,13734562.695,1175,0.814,0.564,181734673,381,887,78.042,69.392,3.757,0.266,0.919,11615.054661,3
"btd-hisgap1_E7_CARE_s27_0x0_w1698_h918_fliph_f34-103.1.roi","btd-hisgap1_E7","btd","heterozygote","lateral","left",TRUE,"mid","CF",139702,126.004,517.33,404.896,518.452,404.161,2138.567,371,51,295,811,740.572,240.185,81.52,0.384,819.684,119109462,845,0.54,0.509,119109462,447,862,81.652,268.8,3.083,0.324,0.888,11080.868393,7
"btd-gap2_z3_t55s_E8_CARE_s23_0x0_w1643_h1016_flipn_f41-110.1.roi","btd-gap2_z3_t55s_E8","btd","heterozygote","lateral","left",TRUE,"mid","CF",121100,186.617,480.694,360.929,479.521,368.777,2063.555,367,14,257,811,810.56,190.226,80.316,0.357,822.613,140261196,1107,0.913,0.897,140261196,399,823,77.788,216.441,4.261,0.235,0.905,9138.097239,8
